"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate","createdby"
"Bhubaneswar","BP-BMC-2022-03-02-001295","BPA1","2022-03-02",NULL,"INITIATED",NULL,NULL,"a5568cc5-e1af-4448-877d-4e9d8352e187"
"Cuttack","OD-BP-2021-02-12-000003","BPA1","2021-02-12",NULL,"PENDING_APPL_FEE",NULL,NULL,"6dee4a09-b245-4c88-a533-167186db8527"
"Sambalpur","BP-SMB-2022-02-10-000794","BPA1","2022-02-10",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"74f05717-56d7-40d3-a07a-292b257cc0e4"
"Rourkela","BP-RRK-2021-10-01-000080","BPA1","2021-10-01",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"0d2957d0-4736-4b49-8640-1605e5d0a041"
"Bhubaneswar","BP-BMC-2022-03-01-001253","BPA1","2022-03-01",NULL,"INITIATED",NULL,NULL,"7d23ba5c-1a24-49dc-a5b3-937d05be7e49"
"Sambalpur","BP-SMB-2021-12-09-000187","BPA1","2021-12-09",NULL,"INITIATED",NULL,NULL,"a281cf0f-59d7-4b48-8cb6-c738d6fc86a3"
"Cuttackdevelopmentauthority","BP-CDA-2022-03-09-001550","BPA2","2022-03-09",NULL,"INITIATED",NULL,NULL,"945f45e1-1f9b-49c6-b8ef-4a91663cdfd5"
"Rourkela","BP-RRK-2022-01-07-000271","BPA1","2022-01-07",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"67e9952b-5b26-4234-a59f-d3e3594046a9"
"Cuttack","OD-BP-2021-02-12-000004","BPA1","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000003","2021-02-12","f45e7ac1-2c81-476d-b4e2-91f2b257b4db"
"Rourkela","BP-RRK-2021-11-16-000155","BPA1","2021-11-16","2021-12-02","APPROVED","BP/RRK/000015","2021-12-10","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Rourkela","BP-RRK-2021-11-16-000154","BPA1","2021-11-16","2021-12-03","APPROVED","BP/RRK/000027","2022-01-11","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Cuttack","OD-BP-2021-02-12-000001","BPA1","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000001","2021-02-12","7e03d254-f01e-4d62-95dc-282556c8e1e2"
"Sambalpur","OD-BP-2021-07-14-000073","BPA1","2021-07-14","2021-07-16","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL,"a281cf0f-59d7-4b48-8cb6-c738d6fc86a3"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-02-000649","BPA1","2022-02-02",NULL,"INITIATED",NULL,NULL,"a5568cc5-e1af-4448-877d-4e9d8352e187"
"Rourkela","BP-RRK-2021-09-21-000079","BPA1","2021-09-21",NULL,"APPROVED","BP/RRK/000009","2021-11-24","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Sambalpur","BP-SMB-2021-09-03-000075","BPA1","2021-09-03","2021-09-03","APPROVED","BP-SMB-2021-09-07-000004","2021-09-07","a281cf0f-59d7-4b48-8cb6-c738d6fc86a3"
"Berhampur","BP-BAM-2021-11-16-000157","BPA1","2021-11-16","2021-11-16","FIELDINSPECTION_INPROGRESS",NULL,NULL,"f1a434a0-8a91-4e6f-95f1-699260b1a554"
"Rourkela","BP-RRK-2021-09-13-000078","BPA1","2021-09-13","2021-09-13","APPROVED","BP/RRK/000005","2021-09-18","5219da3d-c74f-4c1e-b68f-d1dbe4df5fda"
"Rourkela","BP-RRK-2021-11-20-000166","BPA1","2021-11-20","2021-11-23","APPROVED","BP/RRK/000013","2021-12-04","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Rourkela","BP-RRK-2021-09-13-000076","BPA1","2021-09-13","2021-09-13","APPROVED","BP/RRK/000007",NULL,"c03bf043-7a29-4b74-b4de-6d3a2047ada6"
"Cuttack","BP-CTC-2022-04-12-002477","BPA3","2022-04-12",NULL,"INITIATED",NULL,NULL,"de3477e2-6c7d-49a3-b10c-80ee9660d27a"
"Rourkela","BP-RRK-2021-09-13-000077","BPA1","2021-09-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"5219da3d-c74f-4c1e-b68f-d1dbe4df5fda"
"Berhampur","BP-BAM-2022-04-22-002773","BPA1","2022-04-22",NULL,"INITIATED",NULL,NULL,"f236e7f3-dcb1-41f2-9e3e-656e34abac36"
"Sambalpur","BP-SMB-2021-08-15-000074","BPA2","2021-08-15","2021-08-30","APPROVED","BP/SMB/000006","2021-09-21","a281cf0f-59d7-4b48-8cb6-c738d6fc86a3"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-08-000737","BPA1","2022-02-08",NULL,"INITIATED",NULL,NULL,"a5568cc5-e1af-4448-877d-4e9d8352e187"
"Rourkela","BP-RRK-2021-12-03-000174","BPA1","2021-12-03","2021-12-15","APPROVED","BP/RRK/000026","2022-01-08","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Bhubaneswar","BP-BMC-2022-01-13-000347","BPA1","2022-01-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"04a77734-e1da-4d41-bd62-ccf63f844cd0"
"Sambalpur","BP-SMB-2022-01-14-000354","BPA1","2022-01-14",NULL,"INITIATED",NULL,NULL,"a281cf0f-59d7-4b48-8cb6-c738d6fc86a3"
"Sambalpur","BP-SMB-2022-01-16-000379","BPA1","2022-01-16",NULL,"INITIATED",NULL,NULL,"74f05717-56d7-40d3-a07a-292b257cc0e4"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-01-23-000514","BPA1","2022-01-23",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"0ab33c0f-8b61-47c1-8ac0-72087784baef"
"Bhubaneswar","BP-BMC-2022-04-02-002115","BPA2","2022-04-02",NULL,"PENDING_APPL_FEE",NULL,NULL,"658fc06a-a16c-4d56-b8a8-193a40fbaee1"
"Rourkela","BP-RRK-2021-11-16-000158","BPA1","2021-11-16","2021-12-02","APPROVED","BP/RRK/000022","2021-12-21","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Berhampur","BP-BAM-2021-12-27-000217","BPA1","2021-12-27",NULL,"INITIATED",NULL,NULL,"f1a434a0-8a91-4e6f-95f1-699260b1a554"
"Berhampur","BP-BAM-2021-11-15-000152","BPA1","2021-11-15","2021-11-15","FIELDINSPECTION_INPROGRESS",NULL,NULL,"f1a434a0-8a91-4e6f-95f1-699260b1a554"
"Rourkela","BP-RRK-2021-12-20-000202","BPA1","2021-12-20","2021-12-21","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL,"0d2957d0-4736-4b49-8640-1605e5d0a041"
"Bhubaneswar","BP-BMC-2022-01-26-000542","BPA1","2022-01-26",NULL,"INITIATED",NULL,NULL,"34e92490-faea-48b0-9460-5748e94c54de"
"Cuttack","OD-BP-2021-02-12-000002","BPA3","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000002","2021-02-12","7e03d254-f01e-4d62-95dc-282556c8e1e2"
"Berhampur","BP-BAM-2021-11-18-000162","BPA1","2021-11-18","2021-11-20","APPROVED","BP/BAM/000010","2021-11-27","f1a434a0-8a91-4e6f-95f1-699260b1a554"
"Bhubaneswar","BP-BMC-2022-02-11-000810","BPA1","2022-02-11",NULL,"INITIATED",NULL,NULL,"658fc06a-a16c-4d56-b8a8-193a40fbaee1"
"Rourkela","BP-RRK-2022-01-15-000361","BPA1","2022-01-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"01bfd205-faa3-4d4f-bcba-f9762f16eeb3"
"Bhubaneswar","BP-BMC-2022-03-14-001665","BPA1","2022-03-14","2022-04-11","FIELDINSPECTION_INPROGRESS",NULL,NULL,"2122da4f-0574-4075-8738-da7094ae6934"
"Sambalpur","BP-SMB-2021-11-17-000160","BPA1","2021-11-17","2021-11-17","APPROVED","BP/SMB/000016","2021-12-13","a281cf0f-59d7-4b48-8cb6-c738d6fc86a3"
"Rourkela","BP-RRK-2021-11-25-000169","BPA1","2021-11-25","2021-11-25","APPROVED","BP/RRK/000138","2022-04-28","5219da3d-c74f-4c1e-b68f-d1dbe4df5fda"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-09-003401","BPA1","2022-05-09",NULL,"INITIATED",NULL,NULL,"2173a317-0ee2-4564-9ca8-5066ffabfdab"
"Sambalpur","BP-SMB-2021-11-22-000167","BPA1","2021-11-22","2021-11-22","APPROVED","BP/SMB/000017","2021-12-14","a281cf0f-59d7-4b48-8cb6-c738d6fc86a3"
"Berhampur","BP-BAM-2022-05-10-003460","BPA1","2022-05-10",NULL,"INITIATED",NULL,NULL,"04a77734-e1da-4d41-bd62-ccf63f844cd0"
"Sambalpur","BP-SMB-2021-11-15-000153","BPA1","2021-11-15","2021-11-16","APPROVED","BP/SMB/000011","2021-12-02","a281cf0f-59d7-4b48-8cb6-c738d6fc86a3"
"Sambalpur","BP-SMB-2022-01-18-000425","BPA1","2022-01-18",NULL,"INITIATED",NULL,NULL,"a281cf0f-59d7-4b48-8cb6-c738d6fc86a3"
"Rourkela","BP-RRK-2021-11-25-000170","BPA1","2021-11-25","2021-11-29","APPROVED","BP/RRK/000012","2021-12-03","c03bf043-7a29-4b74-b4de-6d3a2047ada6"
"Berhampur","BP-BAM-2021-11-18-000163","BPA1","2021-11-18","2021-11-19","APPROVED","BP/BAM/000021","2021-12-18","f1a434a0-8a91-4e6f-95f1-699260b1a554"
"Berhampurdevelopmentauthority","BP-BED-2022-06-20-004909","BPA1","2022-06-20","2022-06-23","APPROVED","BP/BED/000329","2022-07-08","4f37ce98-e6a6-40cf-b0b0-85dbc7e36b7a"
"Rourkela","BP-RRK-2021-11-24-000168","BPA2","2021-11-24","2021-12-06","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF",NULL,NULL,"3718b5c8-795e-40c5-ac1e-1fc9acdd277f"
"Rourkela","BP-RRK-2021-12-03-000173","BPA1","2021-12-03","2021-12-18","REJECTED",NULL,NULL,"0d2957d0-4736-4b49-8640-1605e5d0a041"
"Bhubaneswar","BP-BMC-2022-01-28-000561","BPA1","2022-01-28","2022-01-28","FIELDINSPECTION_INPROGRESS",NULL,NULL,"ad015a6e-a092-4532-bf06-7900bfd67cbb"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-26-001193","BPA1","2022-02-26",NULL,"INITIATED",NULL,NULL,"2173a317-0ee2-4564-9ca8-5066ffabfdab"
"Rourkela","BP-RRK-2022-01-15-000363","BPA1","2022-01-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"01bfd205-faa3-4d4f-bcba-f9762f16eeb3"
"Berhampur","BP-BAM-2021-11-20-000165","BPA1","2021-11-20","2021-11-20","APPROVED","BP/BAM/000014","2021-12-07","f1a434a0-8a91-4e6f-95f1-699260b1a554"
"Berhampurdevelopmentauthority","BP-BED-2022-01-17-000403","BPA1","2022-01-17",NULL,"INITIATED",NULL,NULL,"4f37ce98-e6a6-40cf-b0b0-85dbc7e36b7a"
"Rourkela","BP-RRK-2021-12-02-000172","BPA1","2021-12-02","2021-12-02","APPROVED","BP/RRK/000023","2021-12-21","c03bf043-7a29-4b74-b4de-6d3a2047ada6"
"Sambalpur","BP-SMB-2022-01-28-000559","BPA1","2022-01-28",NULL,"INITIATED",NULL,NULL,"b9c359e4-5660-403b-933f-60d2da002ad3"
"Bhubaneswar","BP-BMC-2022-02-06-000692","BPA1","2022-02-06","2022-02-06","FIELDINSPECTION_INPROGRESS",NULL,NULL,"0ab33c0f-8b61-47c1-8ac0-72087784baef"
"Rourkela","BP-RRK-2021-12-29-000227","BPA1","2021-12-29",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"cbf66c9d-c8c3-4ba3-b77d-791ceadae440"
"Rourkela","BP-RRK-2021-12-09-000188","BPA1","2021-12-09","2021-12-15","APPROVED","BP/RRK/000025","2022-01-06","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Bhubaneswar","BP-BMC-2022-02-03-000674","BPA1","2022-02-03",NULL,"PENDING_APPL_FEE",NULL,NULL,"de3477e2-6c7d-49a3-b10c-80ee9660d27a"
"Rourkela","BP-RRK-2021-11-16-000156","BPA1","2021-11-16","2021-12-02","APPROVED","BP/RRK/000018","2021-12-14","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Rourkela","BP-RRK-2021-11-17-000161","BPA1","2021-11-17","2021-12-02","APPROVED","BP/RRK/000019","2021-12-15","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Rourkela","BP-RRK-2021-11-15-000151","BPA1","2021-11-15","2021-12-02","APPROVED","BP/RRK/000020","2021-12-15","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Bhubaneswar","BP-BMC-2022-01-24-000535","BPA1","2022-01-24",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"0ab33c0f-8b61-47c1-8ac0-72087784baef"
"Bhubaneswar","BP-BMC-2022-01-20-000456","BPA2","2022-01-20",NULL,"INITIATED",NULL,NULL,"7ac2082c-09be-46cd-9fc2-24b7ba6baa1e"
"Bhubaneswar","BP-BMC-2022-01-20-000463","BPA1","2022-01-20",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"01fb12ac-cac4-4ef5-b908-d5df020d0097"
"Rourkela","BP-RRK-2021-12-31-000237","BPA2","2021-12-31",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"5219da3d-c74f-4c1e-b68f-d1dbe4df5fda"
"Bhubaneswar","BP-BMC-2022-01-24-000532","BPA1","2022-01-24","2022-01-24","APPROVED","BP/BMC/000213","2022-06-01","3067361e-48df-452e-8e1f-e3ce730a1acc"
"Rourkela","BP-RRK-2022-01-31-000606","BPA1","2022-01-31",NULL,"INITIATED",NULL,NULL,"c03bf043-7a29-4b74-b4de-6d3a2047ada6"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-09-000767","BPA1","2022-02-09",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"a5568cc5-e1af-4448-877d-4e9d8352e187"
"Rourkela","BP-RRK-2022-01-03-000244","BPA2","2022-01-03",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"5219da3d-c74f-4c1e-b68f-d1dbe4df5fda"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-04-002172","BPA2","2022-04-04","2022-07-04","FIELDINSPECTION_INPROGRESS",NULL,NULL,"28c9f5be-f413-43b2-b68b-42c9825f916a"
"Bhubaneswar","BP-BMC-2022-02-01-000625","BPA2","2022-02-01",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"c5bb7d91-661a-4f68-b7fd-576f92752182"
"Sambalpur","BP-SMB-2022-01-18-000426","BPA1","2022-01-18",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"74f05717-56d7-40d3-a07a-292b257cc0e4"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-26-001198","BPA1","2022-02-26",NULL,"INITIATED",NULL,NULL,"e3c56370-ea23-4290-8a8d-d9967316c3b2"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-09-000766","BPA2","2022-02-09",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"6d30bff4-987c-4023-ad20-6722f185e080"
"Berhampur","BP-BAM-2021-11-20-000164","BPA1","2021-11-20","2021-11-20","APPROVED","BP/BAM/000037","2022-02-07","9bdecfd0-4f81-4327-91dc-8aed9ad02286"
"Bhubaneswar","BP-BMC-2022-05-01-003095","BPA1","2022-05-01",NULL,"INITIATED",NULL,NULL,"bb616f61-df6a-4595-be55-7386098a69c6"
"Bhubaneswar","BP-BMC-2022-02-12-000835","BPA1","2022-02-12",NULL,"INITIATED",NULL,NULL,"04a77734-e1da-4d41-bd62-ccf63f844cd0"
"Bhubaneswar","BP-BMC-2022-03-28-001982","BPA1","2022-03-28","2022-03-29","FIELDINSPECTION_INPROGRESS",NULL,NULL,"a5568cc5-e1af-4448-877d-4e9d8352e187"
"Bhubaneswar","BP-BMC-2022-01-14-000355","BPA1","2022-01-14",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"658fc06a-a16c-4d56-b8a8-193a40fbaee1"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-08-002363","BPA1","2022-04-08","2022-04-09","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL,"de3477e2-6c7d-49a3-b10c-80ee9660d27a"
"Bhubaneswar","BP-BMC-2022-06-03-004111","BPA2","2022-06-03",NULL,"INITIATED",NULL,NULL,"642810c2-9b60-4baa-ba5c-b0ebd744d3ce"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-09-000759","BPA1","2022-02-09",NULL,"INITIATED",NULL,NULL,"a5568cc5-e1af-4448-877d-4e9d8352e187"
"Bhubaneswar","BP-BMC-2022-01-20-000469","BPA1","2022-01-20",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"0ab33c0f-8b61-47c1-8ac0-72087784baef"
"Cuttack","BP-CTC-2021-12-27-000214","BPA2","2021-12-27",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"8323edcd-5059-41f2-971d-568209d90db9"
"Bhubaneswar","BP-BMC-2022-01-13-000345","BPA1","2022-01-13",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"01fb12ac-cac4-4ef5-b908-d5df020d0097"
"Rourkela","BP-RRK-2022-01-03-000248","BPA1","2022-01-03",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"5219da3d-c74f-4c1e-b68f-d1dbe4df5fda"
"Bhubaneswar","BP-BMC-2022-03-18-001821","BPA2","2022-03-18","2022-05-19","FIELDINSPECTION_INPROGRESS",NULL,NULL,"658fc06a-a16c-4d56-b8a8-193a40fbaee1"
"Bhubaneswar","BP-BMC-2022-07-14-006121","BPA1","2022-07-14","2022-07-14","FIELDINSPECTION_INPROGRESS",NULL,NULL,"cc6414ca-9ef3-4a5c-9397-eba0c3ffebe8"
"Sambalpur","BP-SMB-2022-01-14-000353","BPA1","2022-01-14",NULL,"INITIATED",NULL,NULL,"a281cf0f-59d7-4b48-8cb6-c738d6fc86a3"
"Rourkela","BP-RRK-2021-11-16-000159","BPA1","2021-11-16","2021-11-24","APPROVED",NULL,NULL,"5219da3d-c74f-4c1e-b68f-d1dbe4df5fda"
"Cuttack","BP-CTC-2022-04-03-002149","BPA1","2022-04-03","2022-04-04","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL,"8b1baf75-38e1-4bbb-88c3-d9cc21204235"
"Bhubaneswar","BP-BMC-2022-02-06-000693","BPA1","2022-02-06",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"0ab33c0f-8b61-47c1-8ac0-72087784baef"
"Rourkela","BP-RRK-2022-01-15-000359","BPA1","2022-01-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"c03bf043-7a29-4b74-b4de-6d3a2047ada6"
"Bhubaneswar","BP-BMC-2022-03-21-001864","BPA2","2022-03-21","2022-03-23","FIELDINSPECTION_INPROGRESS",NULL,NULL,"0ab33c0f-8b61-47c1-8ac0-72087784baef"
"Rourkela","BP-RRK-2022-01-15-000372","BPA2","2022-01-15",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"5219da3d-c74f-4c1e-b68f-d1dbe4df5fda"
"Rourkela","BP-RRK-2022-01-09-000295","BPA1","2022-01-09",NULL,"INITIATED",NULL,NULL,"5710255c-6933-4713-b32b-766d51ef3bb5"
"Bhubaneswar","BP-BMC-2022-01-10-000318","BPA1","2022-01-10",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"0ab33c0f-8b61-47c1-8ac0-72087784baef"
"Rourkela","BP-RRK-2022-01-10-000296","BPA1","2022-01-10",NULL,"INITIATED",NULL,NULL,"5710255c-6933-4713-b32b-766d51ef3bb5"
"Rourkela","BP-RRK-2022-01-17-000400","BPA1","2022-01-17",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"0d2957d0-4736-4b49-8640-1605e5d0a041"
"Rourkela","BP-RRK-2022-01-17-000399","BPA1","2022-01-17",NULL,"PENDING_APPL_FEE",NULL,NULL,"0d2957d0-4736-4b49-8640-1605e5d0a041"
"Sambalpur","BP-SMB-2022-01-18-000424","BPA1","2022-01-18",NULL,"INITIATED",NULL,NULL,"a281cf0f-59d7-4b48-8cb6-c738d6fc86a3"
"Rourkela","BP-RRK-2021-12-03-000175","BPA1","2021-12-03","2022-01-06","APPROVED","BP/RRK/000028","2022-01-20","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-26-001203","BPA3","2022-02-26",NULL,"INITIATED",NULL,NULL,"a7618a56-897b-4ad2-bf40-f05fef5fa685"
"Bhubaneswar","BP-BMC-2022-03-30-002048","BPA2","2022-03-30",NULL,"INITIATED",NULL,NULL,"c32e653c-893f-4540-9fcd-4cced4494f07"
"Rourkela","BP-RRK-2022-01-09-000294","BPA1","2022-01-09","2022-01-24","APPROVED","BP/RRK/000038","2022-02-07","5710255c-6933-4713-b32b-766d51ef3bb5"
"Rourkela","BP-RRK-2022-03-16-001747","BPA1","2022-03-16",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"5710255c-6933-4713-b32b-766d51ef3bb5"
"Bhubaneswar","BP-BMC-2022-02-08-000747","BPA1","2022-02-08","2022-02-08","FIELDINSPECTION_INPROGRESS",NULL,NULL,"a7618a56-897b-4ad2-bf40-f05fef5fa685"
"Bhubaneswar","BP-BMC-2022-07-14-006123","BPA1","2022-07-14","2022-07-14","FIELDINSPECTION_INPROGRESS",NULL,NULL,"b9541811-fda4-4164-840a-f6e78c98b83a"
"Berhampur","BP-BAM-2022-01-08-000288","BPA1","2022-01-08","2022-01-08","PENDING_SANC_FEE_PAYMENT",NULL,NULL,"ae7f16b9-0b5f-47be-a684-d9c2ce512103"
"Rourkela","BP-RRK-2022-02-24-001110","BPA1","2022-02-24","2022-03-03","APPROVED","BP/RRK/000075","2022-03-28","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Bhubaneswar","BP-BMC-2022-03-29-002003","BPA1","2022-03-29",NULL,"INITIATED",NULL,NULL,"a5568cc5-e1af-4448-877d-4e9d8352e187"
"Bhubaneswar","BP-BMC-2022-04-12-002480","BPA2","2022-04-12",NULL,"INITIATED",NULL,NULL,"de3477e2-6c7d-49a3-b10c-80ee9660d27a"
"Berhampurdevelopmentauthority","BP-BED-2022-07-09-005938","BPA1","2022-07-09","2022-07-09","APPROVAL_INPROGRESS",NULL,NULL,"afacb7a2-1679-4062-b62d-16794c77dae2"
"Bhubaneswar","BP-BMC-2022-03-12-001637","BPA1","2022-03-12","2022-03-12","FIELDINSPECTION_INPROGRESS",NULL,NULL,"658fc06a-a16c-4d56-b8a8-193a40fbaee1"
"Rourkela","BP-RRK-2022-04-06-002271","BPA1","2022-04-06",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"67e9952b-5b26-4234-a59f-d3e3594046a9"
"Bhubaneswar","BP-BMC-2022-04-02-002117","BPA2","2022-04-02",NULL,"PENDING_APPL_FEE",NULL,NULL,"658fc06a-a16c-4d56-b8a8-193a40fbaee1"
"Berhampur","BP-BAM-2022-07-16-006211","BPA1","2022-07-16","2022-07-16","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL,"9130547b-3a6b-4929-a740-83de41fa99a4"
"Rourkela","BP-RRK-2021-12-31-000236","BPA1","2021-12-31","2021-12-31","APPROVED","BP/RRK/000035","2022-02-02","5219da3d-c74f-4c1e-b68f-d1dbe4df5fda"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-24-001924","BPA1","2022-03-24",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"5a107bdc-9c90-41cd-96af-4919360c7eaf"
"Bhubaneswar","BP-BMC-2022-01-21-000474","BPA2","2022-01-21",NULL,"INITIATED",NULL,NULL,"7ac2082c-09be-46cd-9fc2-24b7ba6baa1e"
"Bhubaneswar","BP-BMC-2022-07-23-006472","BPA2","2022-07-23","2022-07-23","FIELDINSPECTION_INPROGRESS",NULL,NULL,"a3592dd9-525e-46f2-9cf8-4b7dd3a9e187"
"Berhampur","BP-BAM-2022-03-03-001316","BPA1","2022-03-03","2022-03-03","APPROVED","BP/BAM/000086","2022-04-02","4f37ce98-e6a6-40cf-b0b0-85dbc7e36b7a"
"Bhubaneswar","BP-BMC-2022-01-27-000552","BPA2","2022-01-27",NULL,"INPROGRESS",NULL,NULL,"ad015a6e-a092-4532-bf06-7900bfd67cbb"
"Bhubaneswar","BP-BMC-2022-01-20-000459","BPA1","2022-01-20","2022-01-20","FIELDINSPECTION_INPROGRESS",NULL,NULL,"01fb12ac-cac4-4ef5-b908-d5df020d0097"
"Bhubaneswar","BP-BMC-2022-04-09-002389","BPA1","2022-04-09","2022-04-15","FIELDINSPECTION_INPROGRESS",NULL,NULL,"6f132738-0c83-418a-9dfc-94d0250c5494"
"Rourkela","BP-RRK-2022-01-03-000242","BPA1","2022-01-03","2022-01-06","APPROVED","BP/RRK/000033","2022-02-02","0d2957d0-4736-4b49-8640-1605e5d0a041"
"Bhubaneswar","BP-BMC-2022-07-14-006129","BPA1","2022-07-14","2022-07-15","FIELDINSPECTION_INPROGRESS",NULL,NULL,"f999af3a-ce00-484a-b770-f593f3e28f36"
"Bhubaneswar","BP-BMC-2022-02-04-000678","BPA1","2022-02-04","2022-02-05","FIELDINSPECTION_INPROGRESS",NULL,NULL,"ec434cdf-5183-4ef9-9a0c-13db7d591f27"
"Bhubaneswar","BP-BMC-2022-03-04-001345","BPA1","2022-03-04","2022-03-04","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL,"d56696e8-d67a-4eb9-997a-317a95323a7f"
"Bhubaneswar","BP-BMC-2022-02-10-000789","BPA1","2022-02-10",NULL,"INITIATED",NULL,NULL,"a5568cc5-e1af-4448-877d-4e9d8352e187"
"Bhubaneswar","BP-BMC-2022-01-24-000523","BPA2","2022-01-24",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"3718b5c8-795e-40c5-ac1e-1fc9acdd277f"
"Bhubaneswar","BP-BMC-2022-01-25-000538","BPA2","2022-01-25",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"7ac2082c-09be-46cd-9fc2-24b7ba6baa1e"
"Udala","BP-UDL-2022-01-22-000513","BPA1","2022-01-22","2022-01-25","DOC_VERIFICATION_INPROGRESS",NULL,NULL,"8b1baf75-38e1-4bbb-88c3-d9cc21204235"
"Bhubaneswar","BP-BMC-2022-02-02-000655","BPA1","2022-02-02",NULL,"PENDING_APPL_FEE",NULL,NULL,"a7618a56-897b-4ad2-bf40-f05fef5fa685"
"Rourkela","BP-RRK-2022-01-22-000510","BPA1","2022-01-22","2022-01-22","APPROVED","BP/RRK/000031","2022-02-01","67e9952b-5b26-4234-a59f-d3e3594046a9"
"Bhubaneswar","BP-BMC-2022-02-26-001205","BPA1","2022-02-26",NULL,"INITIATED",NULL,NULL,"204dde8c-9095-4265-ae2c-560f2bccfff8"
"Rourkela","BP-RRK-2022-01-09-000293","BPA1","2022-01-09","2022-01-09","APPROVED","BP/RRK/000029","2022-01-27","cbf66c9d-c8c3-4ba3-b77d-791ceadae440"
"Bhubaneswar","BP-BMC-2022-03-07-001463","BPA2","2022-03-07",NULL,"INITIATED",NULL,NULL,"542a79cf-fd8d-44d2-b9be-0869a4f4c7b3"
