"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate","createdby"
"Berhampurdevelopmentauthority","BP-BED-2022-06-11-004620","BPA1","2022-06-11","2022-06-13","APPROVED","BP/BED/000353","2022-07-13","9bdecfd0-4f81-4327-91dc-8aed9ad02286"
"Bhubaneswar","BP-BMC-2022-03-14-001690","BPA1","2022-03-14","2022-05-19","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL,"82952b85-b38a-4e17-8c1d-ce3e2b9a5cf2"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-07-002301","BPA1","2022-04-07",NULL,"PENDING_SANC_FEE_PAYMENT",NULL,NULL,"a2d8369e-1767-472f-b6ca-ac6483273686"
"Berhampur","BP-BAM-2022-07-01-005628","BPA1","2022-07-01",NULL,"INITIATED",NULL,NULL,"afacb7a2-1679-4062-b62d-16794c77dae2"
"Berhampur","BP-BAM-2022-07-01-005629","BPA1","2022-07-01",NULL,"PENDING_APPL_FEE",NULL,NULL,"afacb7a2-1679-4062-b62d-16794c77dae2"
"Cuttack","BP-CTC-2022-07-01-005631","BPA1","2022-07-01",NULL,"INITIATED",NULL,NULL,"7df76f4c-09f6-454c-8296-62d2d650e763"
"Bhubaneswar","BP-BMC-2022-07-16-006208","BPA1","2022-07-16",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"edbcce79-d031-4dd1-88fc-ad4a3de46662"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-07-02-005664","BPA1","2022-07-02","2022-07-07","FIELDINSPECTION_INPROGRESS",NULL,NULL,"899a6fd1-047d-47f1-a919-f48d787cdf1e"
"Berhampur","BP-BAM-2022-06-16-004763","BPA1","2022-06-16","2022-06-16","APPROVED","BP/BAM/000314","2022-07-06","f1a434a0-8a91-4e6f-95f1-699260b1a554"
"Bhubaneswar","BP-BMC-2022-07-20-006354","BPA1","2022-07-20","2022-07-20","FIELDINSPECTION_INPROGRESS",NULL,NULL,"04a77734-e1da-4d41-bd62-ccf63f844cd0"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-07-15-006149","BPA1","2022-07-15","2022-07-15","FIELDINSPECTION_INPROGRESS",NULL,NULL,"715c05d5-ad94-420c-9a86-8f6b7fb901b5"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-07-04-005729","BPA1","2022-07-04","2022-07-07","APPROVAL_INPROGRESS",NULL,NULL,"2b1d8626-b11f-47cc-b93d-54ee05970f2b"
"Berhampur","BP-BAM-2022-05-09-003396","BPA1","2022-05-09","2022-06-10","PENDING_SANC_FEE_PAYMENT",NULL,NULL,"f1a434a0-8a91-4e6f-95f1-699260b1a554"
