"businessservice","business","tenantid","uuid","geturi","posturi","createdby","createdtime","lastmodifiedby","lastmodifiedtime","businessservicesla"
HUDULB_NOC_OFFLINE,noc-services,od,de6c61a6-4f34-41a9-ba0a-b17a0d6b90e2,,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631098529132,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631098529132,5184000000
MECHANICALENGINEER,BPAREG,od,"73d79708-2393-4d7e-bb8e-fd4f6187825c",,,"095132c5-6c6a-4e63-861c-50119e81879b",1609053791682,"095132c5-6c6a-4e63-861c-50119e81879b",1609053791682,2592000000
MR,mr-services,od,e36f56f1-1b4c-4e95-bf75-6442882d9fa3,,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1632459315063,"5897e5c7-9da5-4991-99f9-c66312b1e061",1632459315063,
MRCORRECTION,mr-services,od,"634c5035-c8b1-4860-b6a7-37db870cf916",,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1632806845855,"5897e5c7-9da5-4991-99f9-c66312b1e061",1632806845855,
ModifySWConnection,sw-services,od,b1ac8c62-ad0c-44d2-a973-da6d1cee7d47,,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1625488391461,"5897e5c7-9da5-4991-99f9-c66312b1e061",1625488391461,259200000
ModifyWSConnection,ws-services,od,e701c943-ad42-46fc-b73e-77ef4c5e6d67,,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1625488445577,"5897e5c7-9da5-4991-99f9-c66312b1e061",1625488445577,259200000
NHAI_NOC_OFFLINE,noc-services,od,"5207d043-c418-4b29-90ae-211524d56e0a",,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631098538878,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631098538878,5184000000
NMA_NOC_THIRD_PARTY,noc-services,od,"8c3f48b7-7384-4fe8-8150-2c3ede4b1da3",,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1652793847791,"5897e5c7-9da5-4991-99f9-c66312b1e061",1652793847791,5184000000
NMA_NOC_THIRD_PARTY_OLD,noc-services,od,b037db25-5297-43f3-b8d5-288430dfdfc1,,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631097740469,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631097740469,5184000000
NewSW1,sw-services,od,"14fc7132-c3c6-48d5-a0f3-1d93787a5744",,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1623931703344,"5897e5c7-9da5-4991-99f9-c66312b1e061",1623931703344,259200000
NewTL,tl-services,od,"75a3f8a2-3018-4397-98f3-d877462c32aa",,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1627468099224,"5897e5c7-9da5-4991-99f9-c66312b1e061",1627468099224,172800000
NewWS1,ws-services,od,"4d987820-ecfc-4be0-bd73-b11d03d254c6",,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1623931693375,"5897e5c7-9da5-4991-99f9-c66312b1e061",1623931693375,259200000
PCB_NOC_OFFLINE,noc-services,od,"65b14ff3-a388-43e7-8d1c-4380593fd6cd",,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631098550326,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631098550326,5184000000
PGR,pgr-services,od,"62cd1fe5-6309-4895-ae08-80a2ae47278a",,,"1874eeef-0d83-46e6-a1ea-1a1d96625e7b",1614337617103,"1874eeef-0d83-46e6-a1ea-1a1d96625e7b",1614337617103,432000000
PHEO_NOC_OFFLINE,noc-services,od,fcfe5625-1e72-43d0-9b2a-a8de9ae27edd,,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631098559058,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631098559058,5184000000
PT.CREATE,PT,od,f7de11e3-e98c-458b-baaf-54fb7d31e2ec,,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1623931646424,"5897e5c7-9da5-4991-99f9-c66312b1e061",1623931646424,
PT.MUTATION,PT,od,"3e2e85d6-b50e-435e-a022-f156d99cec52",,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1623931667721,"5897e5c7-9da5-4991-99f9-c66312b1e061",1623931667721,
RDMTEHSILDAR_NOC_OFFLINE,noc-services,od,"2153bfea-980d-441e-9b12-6233874d59d1",,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631098570249,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631098570249,5184000000
SA_NOC_OFFLINE,noc-services,od,b27828ea-5c89-4e90-a70f-84195ebb3ec1,,,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631098583809,"5897e5c7-9da5-4991-99f9-c66312b1e061",1631098583809,5184000000
