"id","tenantid","documenttype","documentid","buildingplanid","applicationno","approvedby","additionaldetails","createdby","lastmodifiedby","createdtime","lastmodifiedtime"
"9a29ed25-596a-4597-b6b4-1cac18153fe7","od.chatrapur",NULL,NULL,"9f687eed-ece6-4ffc-832f-ecf74c8a2ed8","BP-CHH-2022-08-30-007951","f6367a02-d7fe-4855-9184-d78bbcf85915","null","f6367a02-d7fe-4855-9184-d78bbcf85915","f6367a02-d7fe-4855-9184-d78bbcf85915",1661847986709,1665759060512
"992c7950-ac14-4269-821e-263808375617","od.chatrapur",NULL,NULL,"cb9e6300-b936-4e04-b69b-72e6bb5485bc","BP-CHH-2022-09-30-008935","f6367a02-d7fe-4855-9184-d78bbcf85915","null","f6367a02-d7fe-4855-9184-d78bbcf85915","f6367a02-d7fe-4855-9184-d78bbcf85915",1664529887476,1665759250497
"7e9a6011-f86b-477d-b86a-2f5548a97394","od.berhampur",NULL,NULL,"e3c03809-ccca-460a-9422-47b3b7856209","BP-BAM-2022-08-25-007804","dc977855-14ce-4ed1-9052-7623a7bbfa47","null","dc977855-14ce-4ed1-9052-7623a7bbfa47","dc977855-14ce-4ed1-9052-7623a7bbfa47",1661412041559,1665822572425
"9ee3d9e7-ec94-4a31-9bba-373e2da846da","od.berhampurdevelopmentauthority",NULL,NULL,"d994da58-cbb4-431c-b189-467f0d5def66","BP-BED-2022-07-05-005801","ae0c7268-c1a7-4f50-9bbf-91ad090ae5e9","null","ae0c7268-c1a7-4f50-9bbf-91ad090ae5e9","ae0c7268-c1a7-4f50-9bbf-91ad090ae5e9",1657032699191,1665834426374
"f55b7c52-3158-40f2-a518-90b127c4b509","od.bhubaneswar",NULL,NULL,"aa87a0c8-1843-43ec-89df-6e14910e13f2","BP-BMC-2022-08-18-007565","b9b6b2dd-651c-4705-8077-43c306d37259","null","b9b6b2dd-651c-4705-8077-43c306d37259","b9b6b2dd-651c-4705-8077-43c306d37259",1660819427492,1665836244429
"7240e9cb-7d17-4438-881c-3240c34cffed","od.bhubaneswardevelopmentauthority",NULL,NULL,"d15b0335-6d86-434e-917c-e5e1f0afa856","BP-BDA-2022-10-07-009087","3a6f6e73-da4e-4441-a054-c0b89c6eb013","null","3a6f6e73-da4e-4441-a054-c0b89c6eb013","3a6f6e73-da4e-4441-a054-c0b89c6eb013",1665130580856,1665838221047
"109c6a2d-c494-40bf-9513-b2e57ab2ca0e","od.berhampur",NULL,NULL,"fc788a53-a7b5-4dad-9662-ffedd41d2b27","BP-BAM-2022-08-28-007898","61da67eb-474d-4b01-b465-dfd9465f310a","null","61da67eb-474d-4b01-b465-dfd9465f310a","61da67eb-474d-4b01-b465-dfd9465f310a",1661687065977,1665839965627
"ee752cbc-651c-494a-aeb8-85b528cae77e","od.berhampur",NULL,NULL,"e4fdeb49-31dd-43b9-8d9f-44476b9e6986","BP-BAM-2022-08-29-007931","61da67eb-474d-4b01-b465-dfd9465f310a","null","61da67eb-474d-4b01-b465-dfd9465f310a","61da67eb-474d-4b01-b465-dfd9465f310a",1661772210688,1665840670037
"9811759b-8d54-4ddd-9a05-d1b8324dc035","od.berhampur",NULL,NULL,"98caefe5-577a-4d4f-b82c-bd389f001e88","BP-BAM-2022-08-28-007887","61da67eb-474d-4b01-b465-dfd9465f310a","null","61da67eb-474d-4b01-b465-dfd9465f310a","61da67eb-474d-4b01-b465-dfd9465f310a",1661629361369,1665841405195
"b901c865-766a-4cb3-b6f4-1a2a4a1e77a0","od.cuttack",NULL,NULL,"0e0a4122-cc8a-428e-9c56-6dd72024816e","BP-CTC-2022-10-12-009252","c52333c2-7fba-4984-9fbb-64e7e8590e9c","null","c52333c2-7fba-4984-9fbb-64e7e8590e9c","c52333c2-7fba-4984-9fbb-64e7e8590e9c",1665567271325,1665987234334
"a620b45d-1864-45a7-a13e-1d61808a29a7","od.bhubaneswar",NULL,NULL,"f7700566-2b29-4f93-8956-40d5596b1f8e","BP-BMC-2022-06-28-005523","1794da2c-d058-4228-bbb6-89a7c4666130","null","1794da2c-d058-4228-bbb6-89a7c4666130","1794da2c-d058-4228-bbb6-89a7c4666130",1656418955449,1665987945427
"9489b8d1-54d5-4e46-b65d-e8466c498362","od.berhampur","buildingpermit","487e4ac2-4921-485b-9a40-4275cf4da011","e4e9617c-24fb-433c-91c8-32f2c9686ce6","BP-BAM-2022-08-06-007248","61da67eb-474d-4b01-b465-dfd9465f310a","null","61da67eb-474d-4b01-b465-dfd9465f310a","61da67eb-474d-4b01-b465-dfd9465f310a",1659809215848,1665988058777
"8fb284d6-8db3-4af5-9763-39f2e1cdb30f","od.bhubaneswar",NULL,NULL,"5cd18f1a-2d94-4858-8a13-44af45502596","BP-BMC-2022-08-28-007891","1794da2c-d058-4228-bbb6-89a7c4666130","null","1794da2c-d058-4228-bbb6-89a7c4666130","1794da2c-d058-4228-bbb6-89a7c4666130",1661668040849,1665992311478
"6e82ba41-d038-4da4-84d6-deba16c1adc6","od.bhubaneswar",NULL,NULL,"98e98517-3efb-40a5-abfa-3d48bf3b3fa4","BP-BMC-2022-07-11-005988","1794da2c-d058-4228-bbb6-89a7c4666130","null","1794da2c-d058-4228-bbb6-89a7c4666130","1794da2c-d058-4228-bbb6-89a7c4666130",1657525566828,1665992521005
