"id","tenantid","documenttype","documentid","buildingplanid","applicationno","approvedby","additionaldetails","createdby","lastmodifiedby","createdtime","lastmodifiedtime"
"c31e1f0b-dd3c-4e7f-af69-8a1f80f37ac1","od.cuttack","buildingpermit","4e524dc8-bc9b-45f2-be5f-fd4902752f0c","3fd5cb4c-621b-470d-9be8-27ba6d30d375","BP-CTC-2022-07-23-006490","c52333c2-7fba-4984-9fbb-64e7e8590e9c","null","c52333c2-7fba-4984-9fbb-64e7e8590e9c","c52333c2-7fba-4984-9fbb-64e7e8590e9c",1658600749733,1661239113999
"1a14d2c9-c1dd-452b-b93a-64558acb7d6b","od.cuttack","buildingpermit","9734db77-4a81-442c-adab-4ab79b6e3637","309f6d33-2985-4279-9141-3ae42fb7fdf3","BP-CTC-2022-05-31-003916","c52333c2-7fba-4984-9fbb-64e7e8590e9c","null","c52333c2-7fba-4984-9fbb-64e7e8590e9c","c52333c2-7fba-4984-9fbb-64e7e8590e9c",1653990632732,1661323726058
"86af2243-c9b2-43ec-9476-75da3d7305ac","od.cuttack","buildingpermit","35d5599c-1c5f-4934-8dc0-8e3e25bacd55","ee3c7a6a-17a5-4365-a28e-607a4a2e9fd4","BP-CTC-2022-06-23-005066","d993d597-145f-48ea-a271-bb273fdd2d8e","null","d993d597-145f-48ea-a271-bb273fdd2d8e","d993d597-145f-48ea-a271-bb273fdd2d8e",1655991076657,1661240889772
"b1fbdbe7-25f0-4c97-86fe-e14b7cd85d15","od.bhubaneswar","buildingpermit","9913ec6c-13d0-4ccd-b707-01d0099867e7","85d88dc8-4f37-42ce-963c-a39aa5768b39","BP-BMC-2022-06-13-004671","5758007e-2d13-485f-9336-be08888c691e","null","5758007e-2d13-485f-9336-be08888c691e","5758007e-2d13-485f-9336-be08888c691e",1655105636286,1661252926305
"3c5654e5-4c4a-494c-bc5a-91e66daea7b5","od.cuttack","buildingpermit","029874c4-2b32-41c9-81e6-bae7a8ee2fa2","b2a6c33e-0da1-469d-a3a8-3fc1adf8ff70","BP-CTC-2022-08-03-007081","c52333c2-7fba-4984-9fbb-64e7e8590e9c","null","c52333c2-7fba-4984-9fbb-64e7e8590e9c","c52333c2-7fba-4984-9fbb-64e7e8590e9c",1659542363286,1661238884263
"e811e412-0c42-47e2-9a27-2d642f32cc0c","od.bhubaneswar","buildingpermit","81bf49bb-8771-424e-be7c-ffc23f7b683e","5a5d6ea0-83de-4325-876c-79a46c0a7343","BP-BMC-2022-04-13-002509","1794da2c-d058-4228-bbb6-89a7c4666130","null","1794da2c-d058-4228-bbb6-89a7c4666130","1794da2c-d058-4228-bbb6-89a7c4666130",1649841309046,1661255693125
"51985389-d228-4c68-b601-1b3e1088302d","od.bhubaneswar","buildingpermit","24d3132f-fd77-4ed9-8c5e-c8d5fec27e70","f6c8c641-2ecc-4b19-b76e-0f866e0b842a","BP-BMC-2022-07-22-006454","1794da2c-d058-4228-bbb6-89a7c4666130","null","1794da2c-d058-4228-bbb6-89a7c4666130","1794da2c-d058-4228-bbb6-89a7c4666130",1658489203552,1661256130971
