"id","documenttype","filestoreid","documentuid","buildingplanid","additionaldetails","createdby","lastmodifiedby","createdtime","lastmodifiedtime"
"7b2cb3b2-f83a-4d7d-9cf0-d9fdd90b21f1","BPD.SP.SP","e271f417-2146-4466-8c34-462f1551a64e",NULL,"6ea5b551-6074-4135-99c9-69ad99f03e4c","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653892336430}","01fb12ac-cac4-4ef5-b908-d5df020d0097","01fb12ac-cac4-4ef5-b908-d5df020d0097",1653892130694,1653975581790
"c1a1633f-c08b-4d6a-99b7-c05425f14c52","BPD.SITEPHOTO.SITEPHOTO","47ad2e43-ebf7-41f0-ace8-86cd3bf0da6e",NULL,"6ea5b551-6074-4135-99c9-69ad99f03e4c","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1653892523363}","01fb12ac-cac4-4ef5-b908-d5df020d0097","01fb12ac-cac4-4ef5-b908-d5df020d0097",1653892130694,1653975581790
"331695b3-21bc-47f5-b1f3-d4921b4f87da","BPD.SITEPHOTO.SITEPHOTO","0bd84a93-882b-4bcb-a27e-f71f48eba561",NULL,"d339cbd7-d54f-4431-898b-a98efe0e4456","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1655363511906}","45736e24-fb69-44a4-a830-81dd9fbbcc42","45736e24-fb69-44a4-a830-81dd9fbbcc42",1653812927214,1655363630886
"21be8f1d-8055-4736-ab49-fa9e77526fd1","BPD.SITEPHOTO.SITEPHOTO","81fb06c2-ba9f-4397-86db-473e930c117c",NULL,"d339cbd7-d54f-4431-898b-a98efe0e4456","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1655363512001}","45736e24-fb69-44a4-a830-81dd9fbbcc42","45736e24-fb69-44a4-a830-81dd9fbbcc42",1653812927214,1655363630886
"c179d3c1-0116-4543-8ed3-0bbe0bc50fb4","BPD.SITEPHOTO.SITEPHOTO","22a34ed0-b066-4832-adca-d058b5ab8f3c",NULL,"d339cbd7-d54f-4431-898b-a98efe0e4456","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1655363512089}","45736e24-fb69-44a4-a830-81dd9fbbcc42","45736e24-fb69-44a4-a830-81dd9fbbcc42",1653812927214,1655363630886
"d49f4ef9-8202-4ba7-acce-ee0777ec0e5a","BPD.SITEPHOTO.SITEPHOTO","83650503-4b89-491d-a865-b7956dcc1931",NULL,"d339cbd7-d54f-4431-898b-a98efe0e4456","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1655363512321}","45736e24-fb69-44a4-a830-81dd9fbbcc42","45736e24-fb69-44a4-a830-81dd9fbbcc42",1653812927214,1655363630886
"c326aa25-2943-431f-a269-b11461d1a7eb","BPD.SSTABCERT.SSTABCERT","73a06a71-7461-4c3d-bb4a-71705337dccd",NULL,"d339cbd7-d54f-4431-898b-a98efe0e4456","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1655363575494}","45736e24-fb69-44a4-a830-81dd9fbbcc42","45736e24-fb69-44a4-a830-81dd9fbbcc42",1653812927214,1655363630886
"99fb0865-7181-4ed5-b1e8-946640f5def3","APPL.ROR.ROR","f6c1b468-86fb-4089-a80f-95a6aae658fe",NULL,"ff9b5957-99c1-4a4e-8955-81760ad3ecae","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1651054252214}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1651054008015,1656499708167
"dbdc0d43-db99-4405-be8a-145c07249de7","BPD.BPL.BPL","403148b3-04fb-4d35-af0e-ff3ea9184dde",NULL,"ff9b5957-99c1-4a4e-8955-81760ad3ecae","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1656499506561}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1651054008015,1656499707702
"bf893af4-ed2a-4c75-bceb-30cfb5e796ea","BPD.BPL.BPL","403148b3-04fb-4d35-af0e-ff3ea9184dde",NULL,"ff9b5957-99c1-4a4e-8955-81760ad3ecae","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1656499506561}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1651054008015,1656499708167
"7bd91af4-0b51-4d58-b676-6558a4fe8999","APPL.ROR.ROR","b864347c-7552-4bfd-b017-48412dc4976a",NULL,"ff9b5957-99c1-4a4e-8955-81760ad3ecae","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1656499524848}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1651054008015,1656499708167
"b93f255f-4e19-4d0f-979e-979dee5545e4","BPD.BPL.BPL","10631441-14fd-4778-82bf-9c2ffd5ff645",NULL,"57dba5ac-1217-4b05-8acb-d04b14eba3d2","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1656996856738}","2e4f4d4d-a4f7-46f9-bf66-68c7bcdea550","2e4f4d4d-a4f7-46f9-bf66-68c7bcdea550",1655219785283,1656996895005
"378f7c11-f75b-4a56-9541-e0647ca2110f","BPD.BPL.BPL","913ff3af-15d8-4bb4-a9f7-6a64a438addb",NULL,"57dba5ac-1217-4b05-8acb-d04b14eba3d2","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1656996877493}","2e4f4d4d-a4f7-46f9-bf66-68c7bcdea550","2e4f4d4d-a4f7-46f9-bf66-68c7bcdea550",1655219785283,1656996895005
"77dee2dc-a80e-4652-9650-683511004d21","BPD.SITEPHOTO.SITEPHOTO","86df79ac-c016-4b87-b5d2-27e40641f142",NULL,"57dba5ac-1217-4b05-8acb-d04b14eba3d2","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1655220388822}","2e4f4d4d-a4f7-46f9-bf66-68c7bcdea550","2e4f4d4d-a4f7-46f9-bf66-68c7bcdea550",1655219785283,1656996876883
"5c6f098f-01c4-4d66-9b4d-8fa0134be98b","BPD.BPL.BPL","913ff3af-15d8-4bb4-a9f7-6a64a438addb",NULL,"57dba5ac-1217-4b05-8acb-d04b14eba3d2","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1656996877493}","2e4f4d4d-a4f7-46f9-bf66-68c7bcdea550","2e4f4d4d-a4f7-46f9-bf66-68c7bcdea550",1655219785283,1656996876883
