"id","filestoreid","filename","contenttype","version","createddate"
"214897","44f80315-33f2-4260-9b0b-097bac75067b","APPROVAL -12 -FINAL.dxf","application/octet-stream","0","2022-10-27 10:57:02.516"
"214898","7d325799-25de-4ee6-8e33-416878541ff3","plandetail.txt","text/plain","0","2022-10-27 10:57:06.087"
"214899","43c61bed-bec7-4c5f-8553-a3e99624fa71","52712-2022-GG-v1.pdf","application/pdf","0","2022-10-27 10:57:06.054"
"214900","9127f0e7-a770-4b43-848a-1828f3d4debc","APPROVAL -12 -FINAL_system_scrutinized.dxf","application/octet-stream","0","2022-10-27 10:57:07.181"
