"id","tenantid","businessservice","businessid","action","status","comment","assigner","assignee","statesla","previousstatus","createdby","lastmodifiedby","createdtime","lastmodifiedtime","modulename","businessservicesla","rating"
"f5b87867-a7cf-4c1e-9757-109b2180f3ac","od.bhubaneswar","BPA1","BP-BMC-2022-10-28-009752","APPLY","0f27313f-a669-44ad-8a6e-a4fda4654c76",NULL,"abe089a8-6fc1-42e7-95c7-07ef9dbac41f",NULL,NULL,NULL,"abe089a8-6fc1-42e7-95c7-07ef9dbac41f","abe089a8-6fc1-42e7-95c7-07ef9dbac41f","1666952963816","1666952963816","bpa-services","5172454665",NULL
"f04c37e0-488b-4015-aeaa-9aeb941ed015","od.bhubaneswar","BPA1","BP-BMC-2022-10-28-009752","APPLY","0f27313f-a669-44ad-8a6e-a4fda4654c76",NULL,"abe089a8-6fc1-42e7-95c7-07ef9dbac41f",NULL,NULL,NULL,"abe089a8-6fc1-42e7-95c7-07ef9dbac41f","abe089a8-6fc1-42e7-95c7-07ef9dbac41f","1666955766784","1666955766784","bpa-services","5169651697",NULL
"e0b546cc-62c8-4cc0-a8fe-a1b97d435a0b","od.bhubaneswar","BPA1","BP-BMC-2022-10-28-009752","APPLY","0f27313f-a669-44ad-8a6e-a4fda4654c76",NULL,"abe089a8-6fc1-42e7-95c7-07ef9dbac41f",NULL,NULL,NULL,"abe089a8-6fc1-42e7-95c7-07ef9dbac41f","abe089a8-6fc1-42e7-95c7-07ef9dbac41f","1666955904158","1666955904158","bpa-services","5169514323",NULL
