"id","applicationno","tenantid","status","landid","additionaldetails","createdby","lastmodifiedby","createdtime","lastmodifiedtime","nocno","applicationtype","noctype","accountid","source","sourcerefid","applicationstatus"
"ff5aabf5-06fe-4242-8f56-930fbb6b4c95","OD-NOCSRV-2022-08-23-000122","od.bhubaneswar",NULL,NULL,"{""mode"": ""thirdParty"", ""workflowCode"": ""NMA_NOC_THIRD_PARTY""}","9d3afc64-b7f8-494d-b1ea-614af2ebbc48","d4880bba-a588-4749-ace8-b2a06ef8b078","1661228453697","1661858021809",NULL,"NEW","NMA_NOC","9d3afc64-b7f8-494d-b1ea-614af2ebbc48","BPA","BP-BMC-2022-03-01-001255","CREATED"
"f6de553b-45fd-4e89-a6d5-58f823360006","OD-NOCSRV-2022-08-25-000141","od.bhubaneswardevelopmentauthority",NULL,NULL,"{""mode"": ""thirdParty"", ""workflowCode"": ""NMA_NOC_THIRD_PARTY""}","f60a138a-a234-41d4-b654-d1b7d470642f","327a7d40-50d5-4dc4-be6f-de06b4e8831c","1661424158630","1662970795236",NULL,"NEW","NMA_NOC","f60a138a-a234-41d4-b654-d1b7d470642f","BPA","BP-BDA-2022-04-30-003067","CREATED"
"ff5de138-53e9-4231-80de-dadc116be69f","OD-NOCSRV-2022-08-24-000133","od.jatni",NULL,NULL,"{""mode"": ""thirdParty"", ""workflowCode"": ""NMA_NOC_THIRD_PARTY""}","a8d707db-6ef0-4a25-8a83-d4ef6e9b8f81","b091535f-3c86-4789-bc07-14643613df81","1661286761837","1663065723834",NULL,"NEW","NMA_NOC","a8d707db-6ef0-4a25-8a83-d4ef6e9b8f81","BPA","BP-JTN-2022-08-03-007071","CREATED"
