"id","filestoreid","filename","contenttype","version","createddate"
3639,"82e4c5fe-2f17-4c7e-a44a-62696aa4cd1d","plandetail.txt","text/plain",0,"2021-02-01 20:34:17.901"
3640,"5ff2fe19-1a7e-4071-adb1-b63b93d272ea","00984-2021-QK-v1.pdf","application/pdf",0,"2021-02-01 20:34:17.875"
3641,"9c9359ed-f180-4e80-ac0e-75f7824ccdf8","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:34:18.03"
3642,"48dd497d-0334-4822-a272-2165bb423bc7","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:23.465"
3643,"74188a3f-4515-483e-ae7b-0fdfb9b4fcb9","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:23.063"
3644,"d2bdb9ec-257a-40a9-ac72-acde0f8c8c3a","plandetail.txt","text/plain",0,"2021-02-01 20:35:25.158"
3645,"bff1d9b7-9ebb-4474-891d-a90cb0a96953","00985-2021-LF-v1.pdf","application/pdf",0,"2021-02-01 20:35:25.122"
3646,"4adc04e6-bf8b-477a-9dfa-d1246bf1677e","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:25.162"
3647,"46307a74-d17b-4057-bacd-182051b26460","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:35:25.31"
3648,"7c71715e-91f3-4c0d-8d11-870096de87b3","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:25.36"
3649,"12036133-d2f2-4957-ab7b-987ea5ebc2d2","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:25.497"
3650,"b546d832-6785-4a30-b6d3-6f5ae5eab68a","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:24.425"
3651,"97165996-d169-45c5-9f46-5fc6f4976115","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:25.54"
3652,"642d2fbc-8098-40e0-95d6-7c2f29e8614a","plandetail.txt","text/plain",0,"2021-02-01 20:34:24.756"
3653,"5a200b23-f483-4367-9011-ac737aeacddb","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:24.73"
3654,"2665b3e8-258c-4dbe-a8d6-338592479c31","00986-2021-TE-v1.pdf","application/pdf",0,"2021-02-01 20:34:24.726"
3655,"3b323d85-6954-454c-a99d-219ad3234fb6","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:25.851"
3656,"7080e38e-5a5b-42d5-9f33-83732fcfdf96","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:34:24.901"
3657,"26c5b69d-0493-4f0f-8f5f-4d4bfbe44c9e","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:24.88"
3658,"da1a5bab-cdf2-4490-a9ad-8aa3e0d98c2a","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:25.261"
3659,"8e479d84-43da-4499-879d-71043111b1b3","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:25.391"
3660,"f8b7ca22-433e-4c0b-bd26-3fe23e2252e4","plandetail.txt","text/plain",0,"2021-02-01 20:35:27.049"
3661,"2c33f568-d4e1-4cd0-8ce5-51303d78bc17","00987-2021-MP-v1.pdf","application/pdf",0,"2021-02-01 20:35:27.009"
3662,"c2fcf56f-225e-49f2-a387-76b8a605eeb3","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:35:27.242"
3663,"4e421920-7a65-47ab-8b72-99028dd25fd2","plandetail.txt","text/plain",0,"2021-02-01 20:35:27.361"
3664,"1d4998b5-9a2f-419a-8f07-9f46adf25dbd","00988-2021-GD-v1.pdf","application/pdf",0,"2021-02-01 20:35:27.325"
3665,"2aaedef2-7559-495d-af76-189650bf1fe1","plandetail.txt","text/plain",0,"2021-02-01 20:34:26.274"
3666,"00869958-36a1-4836-82c1-1d63a9cacef3","00990-2021-UR-v1.pdf","application/pdf",0,"2021-02-01 20:34:26.243"
3667,"22ab64a8-f38e-4615-9636-b1a71da3e04d","plandetail.txt","text/plain",0,"2021-02-01 20:35:27.488"
3668,"6df118b3-be96-4e56-912b-dfec719e72b9","00989-2021-AZ-v1.pdf","application/pdf",0,"2021-02-01 20:35:27.445"
3669,"8f00758c-772c-48fe-9028-6f6c76ca51de","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:35:27.508"
3670,"1dd08f98-ef91-4158-bdd6-5a69af4dc027","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:34:26.436"
3671,"cf2e556f-0aae-41e3-ac26-051f52365cea","plandetail.txt","text/plain",0,"2021-02-01 20:35:27.572"
3672,"10117dd1-a421-4c66-8f17-025c4badf882","00991-2021-CL-v1.pdf","application/pdf",0,"2021-02-01 20:35:27.537"
3673,"94aea13a-4c30-4b52-8ee4-001ac9c66db5","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:25.415"
3674,"d556dc5c-2a3a-403f-8246-f53ec4f730a0","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:35:27.624"
3675,"0fb3ad20-6140-4e64-bb11-227007de6987","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:27.607"
3676,"da953700-e2f0-4574-bc00-87d039281467","plandetail.txt","text/plain",0,"2021-02-01 20:34:26.566"
3677,"bb6ac2c6-edfa-4fe4-9c33-d308d9d98945","00992-2021-MQ-v1.pdf","application/pdf",0,"2021-02-01 20:34:26.54"
3678,"86bb02fc-6dbf-4c69-94ca-35ff369ce7da","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:27.64"
3679,"30937f6e-1cf0-4f08-82f1-100c627292e7","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:27.653"
3680,"af5f6604-4129-4fb0-b6de-4b0e6903b404","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:27.605"
3681,"853bcf56-fcc5-4980-9a9a-c960e45d3a38","plandetail.txt","text/plain",0,"2021-02-01 20:35:27.747"
3682,"b78e7710-afa6-4044-ac7c-745d0bb62686","00993-2021-VU-v1.pdf","application/pdf",0,"2021-02-01 20:35:27.716"
3683,"a3c6675a-429f-4b95-9808-ea7336430544","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:34:26.763"
3684,"8d053500-7ee2-4a5a-b52b-154501135274","plandetail.txt","text/plain",0,"2021-02-01 20:34:26.801"
3685,"2ad3972b-1d2d-4ceb-a8f8-f7cc83a6b330","00994-2021-TV-v1.pdf","application/pdf",0,"2021-02-01 20:34:26.771"
3686,"f68e43d7-9016-4fcb-9a2a-1a58d5c3a0ec","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:35:27.922"
3687,"bf80e79f-f154-4b30-94ab-a033f18a2890","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:34:26.946"
3688,"f7a8bab7-658f-4bd2-b5c5-3365a6da0e68","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:26.906"
3689,"0405d96e-9cb7-43ae-bc75-9df9a26270c2","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:27.074"
3690,"49e7533f-13c7-46fc-8466-a55841e0c821","plandetail.txt","text/plain",0,"2021-02-01 20:34:27.252"
3691,"231fe5fa-1488-48e9-8260-802069f6d353","00995-2021-FV-v1.pdf","application/pdf",0,"2021-02-01 20:34:27.175"
3692,"42523cd6-aab6-4917-a4fb-ed764ddc3d6a","plandetail.txt","text/plain",0,"2021-02-01 20:34:27.36"
3693,"93734df5-b05f-4030-8765-9b93e58c2808","00996-2021-LF-v1.pdf","application/pdf",0,"2021-02-01 20:34:27.334"
3694,"43b66088-9b49-47de-bfee-4d6b7b854dd8","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:34:27.397"
3695,"da4bf991-decd-47a8-b486-fc6eea91b505","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:27.108"
3696,"ebd6fd2b-ac63-4599-bbb9-86fa0bdbb27e","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:34:27.487"
3697,"60704240-9fd5-489b-a853-6266ed95c5f1","plandetail.txt","text/plain",0,"2021-02-01 20:35:29.456"
3698,"8603e129-c97d-435a-b11a-c461555192ab","00998-2021-EB-v1.pdf","application/pdf",0,"2021-02-01 20:35:29.423"
3699,"89171199-1e14-47f5-9c4e-56d8c2280485","plandetail.txt","text/plain",0,"2021-02-01 20:34:28.377"
