"id","tenantid","documenttype","documentid","buildingplanid","applicationno","approvedby","additionaldetails","createdby","lastmodifiedby","createdtime","lastmodifiedtime"
"8a12e07a-4705-447d-ac28-22c641d03dec","od.rourkela","buildingpermit","46cbd9c2-b3d6-418b-91da-5614a92aff99","a690eb99-776d-4727-ae93-6a22cde7f284","BP-RRK-2022-02-22-001059","801845ad-9cc4-4eb6-99b9-5c87fc4dc35f","null","801845ad-9cc4-4eb6-99b9-5c87fc4dc35f","801845ad-9cc4-4eb6-99b9-5c87fc4dc35f",1645533102634,1658297425767
"fc567cf9-607c-4fb2-9ed4-56d838a4b05b","od.bhubaneswardevelopmentauthority","buildingpermit","c0961df1-506a-45e1-972b-c262f904c8f6","47a874d7-80be-490c-8fe9-af5abf213252","BP-BDA-2022-05-02-003118","656df24d-d4fa-4679-8b48-1ddbf8ef426b","null","656df24d-d4fa-4679-8b48-1ddbf8ef426b","656df24d-d4fa-4679-8b48-1ddbf8ef426b",1651487904912,1658299880988
"3ca41002-746f-431c-8dee-6dc86616545b","od.rourkela","buildingpermit","e41e55a6-d945-4ded-9382-f4791a1fd9cf","f3ef9036-c361-4d76-8910-ed06b6307621","BP-RRK-2022-06-01-003983","84862906-aa89-4b99-8639-169fdbd10d4a","null","84862906-aa89-4b99-8639-169fdbd10d4a","84862906-aa89-4b99-8639-169fdbd10d4a",1654083099451,1658815290457
"f4768a56-1730-4848-a4bc-d3febbbbd068","od.rourkela","buildingpermit","d113d5da-a97f-4938-b406-4677eb1910ea","1ed55b1c-aff3-4c22-bbb2-915759f85868","BP-RRK-2021-11-12-000150","801845ad-9cc4-4eb6-99b9-5c87fc4dc35f","null","801845ad-9cc4-4eb6-99b9-5c87fc4dc35f","801845ad-9cc4-4eb6-99b9-5c87fc4dc35f",1636698421520,1658735759668
"02047beb-73e1-4ecf-8a03-c53a1221bbdb","od.bhubaneswar","buildingpermit","9068053b-55a1-45d4-9e06-f0dbd81aa41c","b29bb92c-473f-4eaf-84df-5fb6d0985520","BP-BMC-2022-06-02-004042","b9b6b2dd-651c-4705-8077-43c306d37259","null","b9b6b2dd-651c-4705-8077-43c306d37259","b9b6b2dd-651c-4705-8077-43c306d37259",1654165508052,1658739144759
"30e05bb6-d8df-4a59-8a48-76fcf6176b4d","od.bhubaneswar","buildingpermit","6f1dfc57-5c3d-4ba9-a9d4-ec8cb8760810","a2297ea5-20a5-41f8-a5c4-8b1d62b4122e","BP-BMC-2022-03-20-001838","b9b6b2dd-651c-4705-8077-43c306d37259","null","b9b6b2dd-651c-4705-8077-43c306d37259","b9b6b2dd-651c-4705-8077-43c306d37259",1647780684608,1658739078003
"418bbca5-57e5-4cbc-8350-9e2bc3771f3c","od.rourkela","buildingpermit","05533db8-1c59-46ab-891d-71eaeb31b35b","2434cff7-517e-4b2e-ae62-2437201c6859","BP-RRK-2022-04-06-002272","84862906-aa89-4b99-8639-169fdbd10d4a","null","84862906-aa89-4b99-8639-169fdbd10d4a","84862906-aa89-4b99-8639-169fdbd10d4a",1649210760268,1658815235057
"c9450667-3f23-4b2c-a768-257f023db2e2","od.bhubaneswar","buildingpermit","810d68ee-138e-47b6-b283-c932fe41d358","762dfce2-8d4e-4498-bea7-39d04f3a4533","BP-BMC-2022-03-21-001865","b9b6b2dd-651c-4705-8077-43c306d37259","null","b9b6b2dd-651c-4705-8077-43c306d37259","b9b6b2dd-651c-4705-8077-43c306d37259",1647872357719,1659633897694
