"applicationno","id","documenttype","filestoreid","documentuid","buildingplanid","additionaldetails","createdby","lastmodifiedby","createdtime","lastmodifiedtime"
"BP-BAM-2022-07-01-005627","b038c05b-9add-4329-84da-b5370ad48452","APPL.LANDPOSSAFFI.LANDPOSSAFFI","93ae7ebd-3094-409b-97de-fb3b1ddb61ca",NULL,"c53ae44c-ce3b-4f74-843c-1deb269fac76","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1658150170808}","afacb7a2-1679-4062-b62d-16794c77dae2","afacb7a2-1679-4062-b62d-16794c77dae2",1656657274508,1658236907047
"BP-BAM-2022-07-01-005627","0b5591bb-1cef-4e50-a459-d1845c01c7f3","APPL.LANDPOSSAFFI.LANDPOSSAFFI","93ae7ebd-3094-409b-97de-fb3b1ddb61ca",NULL,"c53ae44c-ce3b-4f74-843c-1deb269fac76","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1658150170808}","afacb7a2-1679-4062-b62d-16794c77dae2","afacb7a2-1679-4062-b62d-16794c77dae2",1656657274508,1658236907047
"BP-BAM-2022-07-01-005627","78ea93d8-05a9-44da-9203-38435a59c4c5","APPL.LANDPOSSAFFI.LANDPOSSAFFI","cb9c31ce-3cad-4d37-b61a-e27ca7e84a85",NULL,"c53ae44c-ce3b-4f74-843c-1deb269fac76","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1656657487008}","afacb7a2-1679-4062-b62d-16794c77dae2","afacb7a2-1679-4062-b62d-16794c77dae2",1656657274508,1658236907047
"BP-BAM-2022-07-01-005627","cb88b8a3-9ade-4e29-80cf-1a8f6b688ccd","APPL.REVSITEPLAN.REVSITEPLAN","45847aa9-1a2e-4eee-b627-7a98e20d5ac0",NULL,"c53ae44c-ce3b-4f74-843c-1deb269fac76","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1658150147495}","afacb7a2-1679-4062-b62d-16794c77dae2","afacb7a2-1679-4062-b62d-16794c77dae2",1656657274508,1658236907047
"BP-BAM-2022-07-01-005627","cfd73e05-d5a2-4205-b631-10a02f6382c2","APPL.REVSITEPLAN.REVSITEPLAN","45847aa9-1a2e-4eee-b627-7a98e20d5ac0",NULL,"c53ae44c-ce3b-4f74-843c-1deb269fac76","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1658150147495}","afacb7a2-1679-4062-b62d-16794c77dae2","afacb7a2-1679-4062-b62d-16794c77dae2",1656657274508,1658236907047
"BP-BAM-2022-07-01-005627","caae3e5c-e53a-4063-8b09-43f410122f6c","APPL.REVSITEPLAN.REVSITEPLAN","0ed70f24-bf05-49e7-8d9d-0c2098bc26df",NULL,"c53ae44c-ce3b-4f74-843c-1deb269fac76","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1656657469583}","afacb7a2-1679-4062-b62d-16794c77dae2","afacb7a2-1679-4062-b62d-16794c77dae2",1656657274508,1658236907047
"BP-BAM-2022-07-01-005627","1ae9446e-7732-4003-9a24-06dcfcaa78be","APPL.ROR.ROR","cdef3f56-c63a-481b-af88-e5e774a22922",NULL,"c53ae44c-ce3b-4f74-843c-1deb269fac76","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1656657340225}","afacb7a2-1679-4062-b62d-16794c77dae2","afacb7a2-1679-4062-b62d-16794c77dae2",1656657274508,1658236907047
"BP-BAM-2022-07-01-005627","59cdfa3b-d1c2-41bf-a10a-649078958c33","APPL.SALEGIFTDEED.SALEGIFTDEED","11e3c139-501d-4936-8f8d-296de4e0b7b8",NULL,"c53ae44c-ce3b-4f74-843c-1deb269fac76","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1656657360419}","afacb7a2-1679-4062-b62d-16794c77dae2","afacb7a2-1679-4062-b62d-16794c77dae2",1656657274508,1658236907047
"BP-BAM-2022-07-01-005627","b28ce1d8-5e60-4129-bcca-1d3c8826f185","BPD.BPL.BPL","665e0e3d-10d3-4391-b807-01f9a413a8b9",NULL,"c53ae44c-ce3b-4f74-843c-1deb269fac76","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1656657494914}","afacb7a2-1679-4062-b62d-16794c77dae2","afacb7a2-1679-4062-b62d-16794c77dae2",1656657274508,1658236907047
"BP-BDA-2022-04-08-002363","f29f0747-73cd-4a75-93d6-a246dad5061b","ADDL.REGULARISATIONANNEXUREI.REGULARISATIONANNEXUREI","eea617e1-b29f-45f5-a50f-42613ac3c5cf",NULL,"79735a7f-587b-459c-b53c-6c980f9416fc","{""uploadedBy"": ""Citizen"", ""uploadedTime"": 1649418093729}","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1649417360453,1658544622754
