"id","tenantid","billid","businessservice","billno","billdate","consumercode","consumertype","billdescription","displaymessage","minimumamount","totalamount","callbackforapportioning","partpaymentallowed","collectionmodesnotallowed","createdby","createddate","lastmodifiedby","lastmodifieddate","receiptdate","receiptnumber","fromperiod","toperiod","demandid","isadvanceallowed","expirydate","additionaldetails"
"c6d09fb5-a0ca-4a25-a130-5b0b1887f93c","od.bhubaneswar","31f24d16-f7cd-445c-ab25-2d7c2218c343","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18400400",1665039452028,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039452028,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039452028,NULL,NULL,1641018465985,1672468065985,"b0648e92-35b8-4985-89fd-6851c3302125",NULL,1667692799027,"null"
"2523a24c-b9b9-4144-a42b-de77e8f7712f","od.bhubaneswar","31f24d16-f7cd-445c-ab25-2d7c2218c343","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18400400",1665039452028,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039452028,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039452028,NULL,NULL,1641018801584,1672468401584,"628b175a-4308-4be9-9bfb-7ffbe1fc8a4c",NULL,1667692799027,"null"
"89c22d77-4d02-4b8f-9d85-c366e961e571","od.bhubaneswar","31f24d16-f7cd-445c-ab25-2d7c2218c343","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18400400",1665039452028,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039452028,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039452028,NULL,NULL,1641019063241,1672468663241,"c61caa94-ce8e-4f4f-b2be-142f46c2227c",NULL,1667692799028,"null"
"1ef129c0-33b1-4f77-9c89-0b5210771b43","od.bhubaneswar","31f24d16-f7cd-445c-ab25-2d7c2218c343","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18400400",1665039452028,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039452028,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039452028,NULL,NULL,1641019305721,1672468905721,"5ec6d15d-b00f-4b87-b8d9-59c0b8a14b24",NULL,1667692799028,"null"
"d8ab99ac-fcc0-4bd1-ae15-aa17d54d99df","od.bhubaneswar","31f24d16-f7cd-445c-ab25-2d7c2218c343","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18400400",1665039452028,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039452028,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039452028,NULL,NULL,1641020215609,1672469815609,"400cd2f3-cde6-48d3-b38a-a944b31d6652",NULL,1667692799028,"null"
"c277b8a9-149e-4ffb-8318-a81b015240d1","od.bhubaneswar","9be8795f-b109-4f60-8681-ef78bd79494c","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18400510",1665039625024,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,NULL,NULL,1641018465985,1672468065985,"b0648e92-35b8-4985-89fd-6851c3302125",NULL,1667692799024,"null"
"96fb5178-da70-45b1-be26-c785a6ead0ca","od.bhubaneswar","9be8795f-b109-4f60-8681-ef78bd79494c","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18400510",1665039625024,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,NULL,NULL,1641018801584,1672468401584,"628b175a-4308-4be9-9bfb-7ffbe1fc8a4c",NULL,1667692799024,"null"
"acf25165-b7fc-4c48-af45-38a10e167be3","od.bhubaneswar","9be8795f-b109-4f60-8681-ef78bd79494c","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18400510",1665039625024,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,NULL,NULL,1641019063241,1672468663241,"c61caa94-ce8e-4f4f-b2be-142f46c2227c",NULL,1667692799024,"null"
"d4f442c1-2b5f-4c69-a7eb-2da61eb59a53","od.bhubaneswar","9be8795f-b109-4f60-8681-ef78bd79494c","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18400510",1665039625024,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,NULL,NULL,1641019305721,1672468905721,"5ec6d15d-b00f-4b87-b8d9-59c0b8a14b24",NULL,1667692799024,"null"
"fccf2c2b-7553-48c2-8988-ab9a2d31d268","od.bhubaneswar","9be8795f-b109-4f60-8681-ef78bd79494c","BPA.NC_SAN_FEE","BILLNO-BPA.NC_SAN_FEE-18400510",1665039625024,"BP-BMC-2022-06-20-004900",NULL,NULL,NULL,NULL,58252.00,False,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,NULL,NULL,1641020215609,1672469815609,"400cd2f3-cde6-48d3-b38a-a944b31d6652",NULL,1667692799024,"null"
