"id","demandid","taxheadcode","taxamount","collectionamount","createdby","createdtime","lastmodifiedby","lastmodifiedtime","tenantid","additionaldetails"
"36f645e4-039d-4d64-958c-55650cc7661b","b0648e92-35b8-4985-89fd-6851c3302125","BPA_SANC_ADJUSTMENT_AMOUNT",0.00,0.00,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665037666000,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665037666000,"od.bhubaneswar","null"
"70a5c55c-5b19-4e64-90e0-6f90fcdd9b34","b0648e92-35b8-4985-89fd-6851c3302125","BPA_SANC_EIDP_FEE",0.00,0.00,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665037666000,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665037666000,"od.bhubaneswar","null"
"da231ce7-f22f-43e4-901f-6cf8af4efc2f","b0648e92-35b8-4985-89fd-6851c3302125","BPA_SANC_PUR_FAR",0.00,0.00,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665037666000,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665037666000,"od.bhubaneswar","null"
"a3173065-dd53-4cdd-ac13-128f6e885df6","b0648e92-35b8-4985-89fd-6851c3302125","BPA_SANC_SECURITY_DEPOSIT",0.00,0.00,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665037666000,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665037666000,"od.bhubaneswar","null"
"695ef081-2d55-42c8-b0b4-25513fea0b9b","b0648e92-35b8-4985-89fd-6851c3302125","BPA_SANC_TEMP_RETENTION_FEE",0.00,0.00,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665037666000,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665037666000,"od.bhubaneswar","null"
"e6d996d1-426e-4b70-9ed8-0d2b5f60e06f","b0648e92-35b8-4985-89fd-6851c3302125","BPA_SANC_SHELTER_FEE",0.00,0.00,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665037666000,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665037666000,"od.bhubaneswar","null"
"f7ffc3b2-f4a7-4b91-b4c9-025517c236ae","b0648e92-35b8-4985-89fd-6851c3302125","BPA_SANC_WORKER_WELFARE_CESS",54111.00,0.00,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665037666000,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665037666000,"od.bhubaneswar","null"
"a6ea7f00-44ba-46d0-b36a-d7427f5e8dd1","b0648e92-35b8-4985-89fd-6851c3302125","BPA_SANC_SANC_FEE",4141.00,0.00,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665037666000,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665037666000,"od.bhubaneswar","null"
"4c60e4ec-5b71-4234-ad53-877bec88bf18","2b0d8b5f-2213-4b8b-a366-5bd1b4e12133","BPA_SANC_ADJUSTMENT_AMOUNT",0.00,0.00,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122324317,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122324317,"od.bhubaneswar","null"
"527d93a2-fe90-4417-b631-698c8d572211","2b0d8b5f-2213-4b8b-a366-5bd1b4e12133","BPA_SANC_EIDP_FEE",0.00,0.00,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122324317,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665122324317,"od.bhubaneswar","null"
