"id","tenantid","billdetail","glcode","orderno","accountdescription","creditamount","debitamount","isactualdemand","purpose","createdby","createddate","lastmodifiedby","lastmodifieddate","cramounttobepaid","taxheadcode","amount","adjustedamount","demanddetailid","additionaldetails"
"35edc54f-3df4-4f33-9c2b-e3185d6c7a13","od.bhubaneswar","c277b8a9-149e-4ffb-8318-a81b015240d1",NULL,2,NULL,NULL,NULL,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,NULL,"BPA_SANC_SANC_FEE",4141.00,0.00,"a6ea7f00-44ba-46d0-b36a-d7427f5e8dd1",NULL
"b7645e15-7b84-48de-bef7-b9dc5c006c2b","od.bhubaneswar","c277b8a9-149e-4ffb-8318-a81b015240d1",NULL,2,NULL,NULL,NULL,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,NULL,"BPA_SANC_PUR_FAR",0.00,0.00,"da231ce7-f22f-43e4-901f-6cf8af4efc2f",NULL
"cb8575e7-8cfc-4c4e-81b0-8c9d681d3b4c","od.bhubaneswar","c277b8a9-149e-4ffb-8318-a81b015240d1",NULL,2,NULL,NULL,NULL,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,NULL,"BPA_SANC_SECURITY_DEPOSIT",0.00,0.00,"a3173065-dd53-4cdd-ac13-128f6e885df6",NULL
"221708b2-2e53-4ff5-b10e-805d8540d77d","od.bhubaneswar","c277b8a9-149e-4ffb-8318-a81b015240d1",NULL,2,NULL,NULL,NULL,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,NULL,"BPA_SANC_ADJUSTMENT_AMOUNT",0.00,0.00,"36f645e4-039d-4d64-958c-55650cc7661b",NULL
"ddc69f25-7484-4f97-a678-e59d94638d25","od.bhubaneswar","c277b8a9-149e-4ffb-8318-a81b015240d1",NULL,2,NULL,NULL,NULL,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665039625024,NULL,"BPA_SANC_SHELTER_FEE",0.00,0.00,"e6d996d1-426e-4b70-9ed8-0d2b5f60e06f",NULL
"e30e5877-aedc-495f-b2e6-5d97a0769e87","od.bhubaneswar","e417ab75-7cd6-460f-9c72-7321b199fad9",NULL,2,NULL,NULL,NULL,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665379495388,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665379495388,NULL,"BPA_SANC_EIDP_FEE",0.00,0.00,"485e23b8-c845-44a1-83e2-0aaa09b2dec7",NULL
"2ca16454-bb98-4361-bc70-b2a924059f31","od.bhubaneswar","e417ab75-7cd6-460f-9c72-7321b199fad9",NULL,2,NULL,NULL,NULL,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665379495388,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665379495388,NULL,"BPA_SANC_WORKER_WELFARE_CESS",54111.00,0.00,"bc3353d7-3f88-4ec6-8068-2ff11a202ddc",NULL
"ef26f458-07be-4a2c-acfc-b4fbcfb9b456","od.bhubaneswar","e417ab75-7cd6-460f-9c72-7321b199fad9",NULL,2,NULL,NULL,NULL,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665379495388,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665379495388,NULL,"BPA_SANC_TEMP_RETENTION_FEE",0.00,0.00,"9707fcc2-3cea-4732-8c87-e885f2877739",NULL
"41858179-7bb6-4af9-b296-05ee437a7059","od.bhubaneswar","e417ab75-7cd6-460f-9c72-7321b199fad9",NULL,2,NULL,NULL,NULL,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665379495388,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665379495388,NULL,"BPA_SANC_SANC_FEE",4141.00,0.00,"d6cb1808-c978-415c-94bd-e25e49b72ab9",NULL
"6231e67c-3920-46e2-89ad-6a8a56558bfe","od.bhubaneswar","e417ab75-7cd6-460f-9c72-7321b199fad9",NULL,2,NULL,NULL,NULL,NULL,NULL,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665379495388,"db2c708e-b12b-49c0-9b88-71f5dfe5f00c",1665379495388,NULL,"BPA_SANC_PUR_FAR",0.00,0.00,"c6d16da1-76a5-40f2-9375-ca8878f85557",NULL
