"id","demandid","taxheadcode","taxamount","collectionamount","createdby","createdtime","lastmodifiedby","lastmodifiedtime","tenantid","additionaldetails"
"97db741b-02ba-46ec-ae0b-0ac7141c8ddd","cc005d00-16c7-4b2f-9372-f5e3209d81c6","BPA_SANC_ADJUSTMENT_AMOUNT",14010.00,0.00,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665207545807,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665207545807,"od.bhubaneswardevelopmentauthority","null"
"f1fd5eb1-c5ab-4f78-81a7-2dee7a3eb35e","cc005d00-16c7-4b2f-9372-f5e3209d81c6","BPA_SANC_EIDP_FEE",0.00,0.00,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665207545807,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665207545807,"od.bhubaneswardevelopmentauthority","null"
"13169939-3694-4319-be5b-5ef28a29b22f","cc005d00-16c7-4b2f-9372-f5e3209d81c6","BPA_SANC_PUR_FAR",0.00,0.00,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665207545807,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665207545807,"od.bhubaneswardevelopmentauthority","null"
"13025027-b4ae-455d-ac99-226443064a86","cc005d00-16c7-4b2f-9372-f5e3209d81c6","BPA_SANC_SECURITY_DEPOSIT",0.00,0.00,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665207545807,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665207545807,"od.bhubaneswardevelopmentauthority","null"
"03424165-07e0-458f-8e90-41b9cdef93d2","cc005d00-16c7-4b2f-9372-f5e3209d81c6","BPA_SANC_TEMP_RETENTION_FEE",0.00,0.00,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665207545807,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665207545807,"od.bhubaneswardevelopmentauthority","null"
"642d09c6-e7ea-4e6e-9610-65eb127533d0","cc005d00-16c7-4b2f-9372-f5e3209d81c6","BPA_SANC_SHELTER_FEE",0.00,0.00,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665207545807,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665207545807,"od.bhubaneswardevelopmentauthority","null"
"a7e322b2-f1a3-4006-90ca-80844d47d808","cc005d00-16c7-4b2f-9372-f5e3209d81c6","BPA_SANC_WORKER_WELFARE_CESS",62833.00,0.00,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665207545807,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665207545807,"od.bhubaneswardevelopmentauthority","null"
"8b18e6d5-0ee3-49a9-a954-cb0a9e3f145d","cc005d00-16c7-4b2f-9372-f5e3209d81c6","BPA_SANC_SANC_FEE",4809.00,0.00,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665207545807,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665207545807,"od.bhubaneswardevelopmentauthority","null"
"e0fdeebb-4ee6-43bb-94bb-67a7031502de","d71e71d6-1d09-48b6-974f-5f0f5d2c97e8","BPA_SANC_ADJUSTMENT_AMOUNT",14010.00,0.00,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665128004706,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665128004706,"od.bhubaneswardevelopmentauthority","null"
"94805ff6-6c17-4aa7-89c1-f6929a9b07eb","d71e71d6-1d09-48b6-974f-5f0f5d2c97e8","BPA_SANC_EIDP_FEE",0.00,0.00,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665128004706,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665128004706,"od.bhubaneswardevelopmentauthority","null"
"cc0e6d08-2c2a-422f-a506-676256654df0","d71e71d6-1d09-48b6-974f-5f0f5d2c97e8","BPA_SANC_PUR_FAR",0.00,0.00,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665128004706,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665128004706,"od.bhubaneswardevelopmentauthority","null"
"e36bdc14-15d5-4a03-8df0-914e768c2ed4","d71e71d6-1d09-48b6-974f-5f0f5d2c97e8","BPA_SANC_SECURITY_DEPOSIT",0.00,0.00,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665128004706,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665128004706,"od.bhubaneswardevelopmentauthority","null"
"efda1236-0d77-4c5d-af5b-ab2b99a44296","d71e71d6-1d09-48b6-974f-5f0f5d2c97e8","BPA_SANC_TEMP_RETENTION_FEE",0.00,0.00,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665128004706,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665128004706,"od.bhubaneswardevelopmentauthority","null"
"15627628-f747-41f8-a353-e205e9bab43b","d71e71d6-1d09-48b6-974f-5f0f5d2c97e8","BPA_SANC_SHELTER_FEE",0.00,0.00,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665128004706,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665128004706,"od.bhubaneswardevelopmentauthority","null"
"b2ab6009-c01e-4d50-9f75-93792557b8cc","d71e71d6-1d09-48b6-974f-5f0f5d2c97e8","BPA_SANC_WORKER_WELFARE_CESS",62833.00,0.00,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665128004706,"c1004bbb-8c3f-459b-8e6d-776f21e0a361",1665128004706,"od.bhubaneswardevelopmentauthority","null"
