"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Bhubaneswar","BP-BMC-2022-04-12-002482","BPA2","2022-04-12",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-08-001491","BPA3","2022-03-08",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-31-002077","BPA1","2022-03-31","2022-04-05","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001277","BPA1","2022-03-02",NULL,"INITIATED",NULL,NULL
"Rourkela","BP-RRK-2022-04-25-002838","BPA4","2022-04-25",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-01-14-000352","BPA1","2022-01-14","2022-01-14","APPROVED","BP/BAM/000054","2022-03-02"
"Berhampur","BP-BAM-2022-03-05-001403","BPA1","2022-03-05",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-01-002111","BPA1","2022-04-01","2022-04-02","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-07-001471","BPA1","2022-03-07","2022-03-14","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-08-000753","BPA1","2022-02-08",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Berhampur","BP-BAM-2022-02-27-001215","BPA1","2022-02-27",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2022-01-18-000411","BPA1","2022-01-18","2022-01-18","APPROVED","BP/SMB/000042","2022-02-12"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-13-003567","BPA1","2022-05-13",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-05-15-003618","BPA1","2022-05-15","2022-05-16","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-10-000781","BPA1","2022-02-10",NULL,"INITIATED",NULL,NULL
"Khordha","BP-KHU-2022-04-25-002854","BPA2","2022-04-25","2022-04-26","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-06-01-003961","BPA1","2022-06-01","2022-06-02","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Berhampurdevelopmentauthority","BP-BED-2022-01-22-000508","BPA1","2022-01-22","2022-01-22","REJECTED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-26-001960","BPA1","2022-03-26",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2022-04-11-002411","BPA1","2022-04-11",NULL,"INITIATED",NULL,NULL
