"ulb","status","count"
"Berhampur","CITIZEN_APPROVAL_INPROCESS",30
"Rourkela","PENDING_ARCHITECT_ACTION_FOR_REWORK",1
"Jatni","DOC_VERIFICATION_INPROGRESS",3
"Sambalpurdevelopmentauthority","INITIATED",2
"Rourkela","APPROVAL_INPROGRESS",5
"Bhubaneswar","DOC_VERIFICATION_INPROGRESS",7
"Berhampurdevelopmentauthority","FIELDINSPECTION_INPROGRESS",3
"Berhampur","INPROGRESS",5
"Bhubaneswar","INITIATED",136
"Chatrapur","INITIATED",1
"Bhubaneswardevelopmentauthority","APPROVED",58
"Cuttack","REJECTED",1
"Berhampur","APP_L1_VERIFICATION_INPROGRESS",1
"Berhampurdevelopmentauthority","INITIATED",3
"Bhubaneswar","APP_L1_VERIFICATION_INPROGRESS",25
"Bhubaneswar","INPROGRESS",5
"Bhubaneswardevelopmentauthority","FIELDINSPECTION_INPROGRESS",46
"Berhampur","DOC_VERIFICATION_INPROGRESS",2
"Berhampur","CITIZEN_ACTION_PENDING_AT_APPROVAL",14
"Berhampurdevelopmentauthority","INPROGRESS",1
"Cuttack","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",7
"Bhubaneswar","PENDING_SANC_FEE_PAYMENT",25
"Bhubaneswardevelopmentauthority","CITIZEN_ACTION_PENDING_AT_APPROVAL",48
"Testing","PENDING_APPL_FEE",1
