"applicationdate","creationdate","status","id","applicationno","tenantid","edcrnumber","status-2","landid","additionaldetails","createdby","lastmodifiedby","createdtime","lastmodifiedtime","approvalno","approvaldate","applicationdate-2","businessservice","accountid","reworkhistory","isrevisionapplication"
"11-02-2022","03-02-2022","APPROVAL_INPROGRESS","aa3c979c-a329-4fce-b005-da19d99e4247","BP-BMC-2022-02-03-000666","od.bhubaneswar","DCR820228H4RC","APPROVAL_INPROGRESS","2d658045-370f-4a85-b238-5162269628e7","{""fieldinspection_pending"": [{""date"": ""2022-06-13"", ""docs"": [{""fileName"": ""S.666.pdf"", ""fileStore"": ""2e435b7b-4603-4a71-9665-9c2c1d7f1800"", ""fileStoreId"": ""2e435b7b-4603-4a71-9665-9c2c1d7f1800"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.FIR.FIR""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1655451850530}}, {""fileName"": ""IMG-20220616-WA0011.jpg"", ""fileStore"": ""a97fcf03-6b2c-438b-a695-3cd6cc360941"", ""fileStoreId"": ""a97fcf03-6b2c-438b-a695-3cd6cc360941"", ""isClickable"": true, ""documentType"": ""FI.SINS.SINS"", ""dropDownValues"": {""value"": ""FI.SINS.SINS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1655451870355}}, {""fileName"": ""IMG-20220616-WA0011.jpg"", ""fileStore"": ""6500033c-9106-4582-943f-e9d02046daa0"", ""fileStoreId"": ""6500033c-9106-4582-943f-e9d02046daa0"", ""isClickable"": true, ""documentType"": ""FI.SISS.SISS"", ""dropDownValues"": {""value"": ""FI.SISS.SISS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1655451885340}}, {""fileName"": ""IMG-20220616-WA0011.jpg"", ""fileStore"": ""43b6cd08-5847-43ca-a731-af8a1a70620e"", ""fileStoreId"": ""43b6cd08-5847-43ca-a731-af8a1a70620e"", ""isClickable"": true, ""documentType"": ""FI.SIES.SIES"", ""dropDownValues"": {""value"": ""FI.SIES.SIES""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1655451897497}}, {""fileName"": ""IMG-20220616-WA0011.jpg"", ""fileStore"": ""7d9719ba-5100-4ae3-94f5-4f0d21068320"", ""fileStoreId"": ""7d9719ba-5100-4ae3-94f5-4f0d21068320"", ""isClickable"": true, ""documentType"": ""FI.SIWS.SIWS"", ""dropDownValues"": {""value"": ""FI.SIWS.SIWS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1655451911736}}], ""time"": ""11:00"", ""questions"": [{""value"": ""YES"", ""question"": ""PLAN_AS_PER_THE_SITE""}]}]}","a7618a56-897b-4ad2-bf40-f05fef5fa685","a7618a56-897b-4ad2-bf40-f05fef5fa685",1643874367610,1660300763412,NULL,0,1644558177454,"BPA1","a7618a56-897b-4ad2-bf40-f05fef5fa685","{""edcrHistory"": [{""edcrnumber"": ""DCR22022HKYLD"", ""createdtime"": 1660025109019}]}",False
"01-01-1970","03-02-2022","PENDING_APPL_FEE","7d773d02-7324-4160-95c8-0bc635f85bb4","BP-BMC-2022-02-03-000674","od.bhubaneswar","DCR22022CTN3L","PENDING_APPL_FEE","3b37ac54-782e-4ce1-9ff5-565ea4c7a404","null","de3477e2-6c7d-49a3-b10c-80ee9660d27a","de3477e2-6c7d-49a3-b10c-80ee9660d27a",1643892082173,1643893249336,NULL,0,0,"BPA1","de3477e2-6c7d-49a3-b10c-80ee9660d27a",NULL,NULL
"12-02-2022","03-02-2022","CITIZEN_ACTION_PENDING_AT_APPROVAL","b108c65f-4d2c-41c2-8d56-5360e1da596a","BP-BMC-2022-02-03-000676","od.bhubaneswar","DCR22022JSR5C","CITIZEN_ACTION_PENDING_AT_APPROVAL","8f689526-711d-46aa-8631-cc0f0bf5f7e9","{""remarks"": ""Ok"", ""serviceType"": ""NEW_CONSTRUCTION"", ""applicationType"": ""BUILDING_PLAN_SCRUTINY"", ""fieldinspection_pending"": [{""date"": ""2022-05-13"", ""docs"": [{""fileName"": ""S.676.pdf"", ""fileStore"": ""d27377d3-e77d-4456-9e91-44df7b6ac017"", ""fileStoreId"": ""d27377d3-e77d-4456-9e91-44df7b6ac017"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.FIR.FIR""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1652503677208}}, {""fileName"": ""IMG-20220411-WA0008.jpg"", ""fileStore"": ""a971a313-454e-424d-b097-36d224930b5e"", ""fileStoreId"": ""a971a313-454e-424d-b097-36d224930b5e"", ""isClickable"": true, ""documentType"": ""FI.SINS.SINS"", ""dropDownValues"": {""value"": ""FI.SINS.SINS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1652503760804}}, {""fileName"": ""IMG-20220411-WA0008.jpg"", ""fileStore"": ""dba1e983-b0f1-4532-b37e-889426b6d1be"", ""fileStoreId"": ""dba1e983-b0f1-4532-b37e-889426b6d1be"", ""isClickable"": true, ""documentType"": ""FI.SISS.SISS"", ""dropDownValues"": {""value"": ""FI.SISS.SISS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1652503872899}}, {""fileName"": ""IMG-20220411-WA0008.jpg"", ""fileStore"": ""e479be42-a160-4050-aa7e-27f3fd7c5836"", ""fileStoreId"": ""e479be42-a160-4050-aa7e-27f3fd7c5836"", ""isClickable"": true, ""documentType"": ""FI.SIES.SIES"", ""dropDownValues"": {""value"": ""FI.SIES.SIES""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1652503913690}}, {""fileName"": ""IMG-20220411-WA0008.jpg"", ""fileStore"": ""b3ffe6d0-04d0-4e33-adec-d7b4e0440324"", ""fileStoreId"": ""b3ffe6d0-04d0-4e33-adec-d7b4e0440324"", ""isClickable"": true, ""documentType"": ""FI.SIWS.SIWS"", ""dropDownValues"": {""value"": ""FI.SIWS.SIWS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1652503963933}}], ""time"": ""12:00"", ""questions"": [{""value"": ""YES"", ""question"": ""PLAN_AS_PER_THE_SITE""}]}]}","0ab33c0f-8b61-47c1-8ac0-72087784baef","0ab33c0f-8b61-47c1-8ac0-72087784baef",1643898987823,1654085516467,NULL,0,1644656423364,"BPA1","0ab33c0f-8b61-47c1-8ac0-72087784baef",NULL,NULL
"05-02-2022","04-02-2022","FIELDINSPECTION_INPROGRESS","a495975a-6d18-4486-9952-5de88bcdb025","BP-BMC-2022-02-04-000678","od.bhubaneswar","DCR22022YJUHN","FIELDINSPECTION_INPROGRESS","96a1172e-4a03-4fef-b18d-143e8d4d1b9d","null","ec434cdf-5183-4ef9-9a0c-13db7d591f27","ec434cdf-5183-4ef9-9a0c-13db7d591f27",1643952177168,1644412369330,NULL,0,1644071996140,"BPA1","ec434cdf-5183-4ef9-9a0c-13db7d591f27",NULL,NULL
"04-02-2022","04-02-2022","CITIZEN_ACTION_PENDING_AT_APPROVAL","1f492ab4-2167-4d50-9d9a-4c0deca94ded","BP-BMC-2022-02-04-000680","od.bhubaneswar","DCR22022AQTSJ","CITIZEN_ACTION_PENDING_AT_APPROVAL","b396e563-9a21-4d0a-a86c-006cc15d0259","{""fieldinspection_pending"": [{""date"": ""2022-03-17"", ""docs"": [{""fileName"": ""000680.pdf"", ""fileStore"": ""138d92a0-415a-4e64-bb90-3c7eb67eec3b"", ""fileStoreId"": ""138d92a0-415a-4e64-bb90-3c7eb67eec3b"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.FIR.FIR""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1647499960451}}, {""fileName"": ""IMG-20220317-WA0005.jpg"", ""fileStore"": ""0573f40f-d060-4084-a014-8c3aa81cc63f"", ""fileStoreId"": ""0573f40f-d060-4084-a014-8c3aa81cc63f"", ""isClickable"": true, ""documentType"": ""FI.SINS.SINS"", ""dropDownValues"": {""value"": ""FI.SINS.SINS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1647499989942}}, {""fileName"": ""IMG-20220317-WA0000.jpg"", ""fileStore"": ""dc905b0c-020e-4b20-a692-28a030a0e820"", ""fileStoreId"": ""dc905b0c-020e-4b20-a692-28a030a0e820"", ""isClickable"": true, ""documentType"": ""FI.SISS.SISS"", ""dropDownValues"": {""value"": ""FI.SISS.SISS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1647500019577}}, {""fileName"": ""IMG-20220317-WA0003.jpg"", ""fileStore"": ""2e771c7b-73fe-464e-8627-7ed87521232b"", ""fileStoreId"": ""2e771c7b-73fe-464e-8627-7ed87521232b"", ""isClickable"": true, ""documentType"": ""FI.SIES.SIES"", ""dropDownValues"": {""value"": ""FI.SIES.SIES""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1647500053065}}, {""fileName"": ""IMG-20220317-WA0001.jpg"", ""fileStore"": ""b62f810d-9032-4abe-a2ab-4b9ac60f3f50"", ""fileStoreId"": ""b62f810d-9032-4abe-a2ab-4b9ac60f3f50"", ""isClickable"": true, ""documentType"": ""FI.SIWS.SIWS"", ""dropDownValues"": {""value"": ""FI.SIWS.SIWS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1647500072073}}], ""time"": ""11:05"", ""questions"": [{""value"": ""YES"", ""question"": ""PLAN_AS_PER_THE_SITE""}]}]}","ec434cdf-5183-4ef9-9a0c-13db7d591f27","ec434cdf-5183-4ef9-9a0c-13db7d591f27",1643956536546,1660716522274,NULL,0,1643978823318,"BPA1","ec434cdf-5183-4ef9-9a0c-13db7d591f27","null",False
"24-02-2022","04-02-2022","FIELDINSPECTION_INPROGRESS","a6814296-46bd-4670-87e6-83cb2574a032","BP-BMC-2022-02-04-000682","od.bhubaneswar","DCR12022I260R","FIELDINSPECTION_INPROGRESS","ae1f5a39-8abe-4c80-933b-01ded1202da0","null","658fc06a-a16c-4d56-b8a8-193a40fbaee1","658fc06a-a16c-4d56-b8a8-193a40fbaee1",1643958005548,1648969880911,NULL,0,1645681237798,"BPA1","658fc06a-a16c-4d56-b8a8-193a40fbaee1",NULL,NULL
"08-02-2022","04-02-2022","APPROVAL_INPROGRESS","bb3cbf46-b041-4302-88d1-0c67a88690bb","BP-BMC-2022-02-04-000688","od.bhubaneswar","DCR220225K0GJ","APPROVAL_INPROGRESS","ca0e5cf5-f107-49a6-9051-e8a7b6933a16","{""fieldinspection_pending"": [{""date"": ""2022-04-21"", ""docs"": [{""fileName"": ""S.688.pdf"", ""fileStore"": ""186f2400-4078-4ec5-8192-708cab0f535f"", ""fileStoreId"": ""186f2400-4078-4ec5-8192-708cab0f535f"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.FIR.FIR""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1650532547292}}, {""fileName"": ""IMG-20220407-WA0002.jpg"", ""fileStore"": ""1bbf0e33-f91e-4594-a7b8-4e5caed45caa"", ""fileStoreId"": ""1bbf0e33-f91e-4594-a7b8-4e5caed45caa"", ""isClickable"": true, ""documentType"": ""FI.SINS.SINS"", ""dropDownValues"": {""value"": ""FI.SINS.SINS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1650532603058}}, {""fileName"": ""IMG-20220407-WA0002.jpg"", ""fileStore"": ""3713c13b-a838-4a19-9463-ce2a4d3529c1"", ""fileStoreId"": ""3713c13b-a838-4a19-9463-ce2a4d3529c1"", ""isClickable"": true, ""documentType"": ""FI.SISS.SISS"", ""dropDownValues"": {""value"": ""FI.SISS.SISS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1650532626983}}, {""fileName"": ""IMG-20220407-WA0002.jpg"", ""fileStore"": ""55b68a65-0d99-477f-84ce-bb8e7e73065c"", ""fileStoreId"": ""55b68a65-0d99-477f-84ce-bb8e7e73065c"", ""isClickable"": true, ""documentType"": ""FI.SIES.SIES"", ""dropDownValues"": {""value"": ""FI.SIES.SIES""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1650532661782}}, {""fileName"": ""IMG-20220407-WA0002.jpg"", ""fileStore"": ""b9be15c6-4790-4e90-81e6-c5ce984a665c"", ""fileStoreId"": ""b9be15c6-4790-4e90-81e6-c5ce984a665c"", ""isClickable"": true, ""documentType"": ""FI.SIWS.SIWS"", ""dropDownValues"": {""value"": ""FI.SIWS.SIWS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1650532728894}}], ""time"": ""12:00"", ""questions"": [{""value"": ""YES"", ""question"": ""PLAN_AS_PER_THE_SITE""}]}]}","03891331-7fa2-447c-9532-0166ef7c2681","03891331-7fa2-447c-9532-0166ef7c2681",1643976508444,1653982136534,NULL,0,1644321607817,"BPA1","03891331-7fa2-447c-9532-0166ef7c2681",NULL,NULL
"07-02-2022","04-02-2022","APPROVAL_INPROGRESS","a8711cf5-5b27-49c9-a10d-21b40e98b3d6","BP-BMC-2022-02-04-000689","od.bhubaneswar","DCR22022QZE4M","APPROVAL_INPROGRESS","62b16833-a9ed-4410-baea-a2bbf49e2c58","{""fieldinspection_pending"": [{""date"": ""2022-03-11"", ""docs"": [{""fileName"": ""S.689.pdf"", ""fileStore"": ""e55638f7-e096-4f2d-8aa9-7c60bee57f32"", ""fileStoreId"": ""e55638f7-e096-4f2d-8aa9-7c60bee57f32"", ""isClickable"": true, ""documentType"": ""FI.FIR.FIR"", ""dropDownValues"": {""value"": ""FI.FIR.FIR""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1647343083825}}, {""fileName"": ""IMG-20220314-WA0002.jpg"", ""fileStore"": ""b796d293-cf7f-45f4-9813-29af7459ec87"", ""fileStoreId"": ""b796d293-cf7f-45f4-9813-29af7459ec87"", ""isClickable"": true, ""documentType"": ""FI.SINS.SINS"", ""dropDownValues"": {""value"": ""FI.SINS.SINS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1647343377445}}, {""fileName"": ""IMG-20220314-WA0002.jpg"", ""fileStore"": ""46588084-8a7f-4b95-b08e-76067df8c1db"", ""fileStoreId"": ""46588084-8a7f-4b95-b08e-76067df8c1db"", ""isClickable"": true, ""documentType"": ""FI.SISS.SISS"", ""dropDownValues"": {""value"": ""FI.SISS.SISS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1647343397638}}, {""fileName"": ""IMG-20220314-WA0002.jpg"", ""fileStore"": ""3f4a7ef0-9b8c-4bb3-84ef-f2c1054131bd"", ""fileStoreId"": ""3f4a7ef0-9b8c-4bb3-84ef-f2c1054131bd"", ""isClickable"": true, ""documentType"": ""FI.SIES.SIES"", ""dropDownValues"": {""value"": ""FI.SIES.SIES""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1647343425722}}, {""fileName"": ""IMG-20220314-WA0002.jpg"", ""fileStore"": ""e27f1305-3c78-4b55-9328-a7f538fdc896"", ""fileStoreId"": ""e27f1305-3c78-4b55-9328-a7f538fdc896"", ""isClickable"": true, ""documentType"": ""FI.SIWS.SIWS"", ""dropDownValues"": {""value"": ""FI.SIWS.SIWS""}, ""additionalDetails"": {""uploadedBy"": ""BPA Field Inspector"", ""uploadedTime"": 1647343459054}}], ""time"": ""12:00"", ""questions"": [{""value"": ""YES"", ""question"": ""PLAN_AS_PER_THE_SITE""}]}]}","56854c26-a6d4-425f-a6b8-4f2ea838ed33","56854c26-a6d4-425f-a6b8-4f2ea838ed33",1643979980728,1659087129186,NULL,0,1644228903249,"BPA2","56854c26-a6d4-425f-a6b8-4f2ea838ed33","null",NULL
"01-01-1970","05-02-2022","CITIZEN_APPROVAL_INPROCESS","b3c7aaaf-9bf1-4ebd-ad14-80f12bbb00b3","BP-BED-2022-02-05-000691","od.berhampurdevelopmentauthority","DCR22022RCCSM","CITIZEN_APPROVAL_INPROCESS","8dd3db37-8f89-425e-b4f6-b4c3b34c280d","null","4f37ce98-e6a6-40cf-b0b0-85dbc7e36b7a","4f37ce98-e6a6-40cf-b0b0-85dbc7e36b7a",1644031777477,1644314690352,NULL,0,0,"BPA1","4f37ce98-e6a6-40cf-b0b0-85dbc7e36b7a",NULL,NULL
"06-02-2022","06-02-2022","FIELDINSPECTION_INPROGRESS","05c8feb0-4bf5-4e1e-bcc9-c42ce4bb7076","BP-BMC-2022-02-06-000692","od.bhubaneswar","DCR22022MYAQJ","FIELDINSPECTION_INPROGRESS","b1ca6175-b672-4295-8920-f90c01044cc5","{""remarks"": ""ok"", ""serviceType"": ""NEW_CONSTRUCTION"", ""applicationType"": ""BUILDING_PLAN_SCRUTINY""}","0ab33c0f-8b61-47c1-8ac0-72087784baef","0ab33c0f-8b61-47c1-8ac0-72087784baef",1644134901197,1644315433645,NULL,0,1644138901379,"BPA1","0ab33c0f-8b61-47c1-8ac0-72087784baef",NULL,NULL
