"tenantid","id","licensetype","structuretype","tradetype","accessorycategory","type","uom","fromuom","touom","rate","createdtime","createdby","lastmodifiedtime","lastmodifiedby","applicationtype"
"od.nimapara","caa6b97c-1f34-4ae5-9d79-abcdfcd99ce7","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST155",NULL,"FLAT","SQFT",1,1000,1000.00,1650973265883,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1",1659012210577,"25ff96f4-6b6a-4037-8337-a7142d5218a8","NEW"
"od.nimapara","59b3d116-c5b2-439a-a957-5b11059fa509","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST155",NULL,"FLAT","SQFT",1000,2000,1000.00,1650973655385,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1",1659012233821,"25ff96f4-6b6a-4037-8337-a7142d5218a8","RENEWAL"
"od.nimapara","9ffe48c3-2543-4abc-a6a7-c57f6e029617","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST155",NULL,"FLAT","SQFT",3001,5000,5000.00,1650973265883,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1",1659012210577,"25ff96f4-6b6a-4037-8337-a7142d5218a8","NEW"
"od.nimapara","4af14748-70a7-4dd6-879f-db3f1d59f6bf","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST155",NULL,"FLAT","SQFT",2001,3000,5000.00,1650973655385,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1",1659012233821,"25ff96f4-6b6a-4037-8337-a7142d5218a8","RENEWAL"
"od.nimapara","bb61e7ca-2a5c-46b1-83ec-48e78c7d6cc3","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST155",NULL,"FLAT","SQFT",3001,5000,5000.00,1650973655385,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1",1659012233821,"25ff96f4-6b6a-4037-8337-a7142d5218a8","RENEWAL"
"od.nimapara","bfd0c378-6488-4e32-b24f-040debfb79ce","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST155",NULL,"FLAT","SQFT",2001,3000,5000.00,1650973265883,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1",1659012210577,"25ff96f4-6b6a-4037-8337-a7142d5218a8","NEW"
"od.nimapara","89d5b119-83b8-42dc-aba5-2b4c5738ac25","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST155",NULL,"FLAT","SQFT",1000,2000,1000.00,1650973265883,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1",1659012210577,"25ff96f4-6b6a-4037-8337-a7142d5218a8","NEW"
"od.nimapara","86f5fb3a-1b8e-4a9b-af26-3b8d8b37211c","PERMANENT",NULL,"NONEATINGNONMEDICALESTABLISHMENTS.TST155",NULL,"FLAT","SQFT",1,1000,1000.00,1650973655385,"9eec6c54-fb6f-464e-a981-ad98ec0e15a1",1659012233821,"25ff96f4-6b6a-4037-8337-a7142d5218a8","RENEWAL"
