"tenantid","id","licensetype","structuretype","tradetype","accessorycategory","type","uom","fromuom","touom","rate","createdtime","createdby","lastmodifiedtime","lastmodifiedby","applicationtype"
"od.rourkela","6082d4a3-82bc-4004-99e1-dd5ecd54ca07","PERMANENT",NULL,"EATINGESTABLISHMENTS.TST33",NULL,"FLAT",NULL,NULL,NULL,5000.00,1659007674357,"2ad52f59-2402-4804-adef-e2177595e494",1659007674357,"2ad52f59-2402-4804-adef-e2177595e494","NEW"
"od.rourkela","1372d741-e59b-43eb-8135-12bddfb20d0f","PERMANENT",NULL,"EATINGESTABLISHMENTS.TST33",NULL,"FLAT",NULL,NULL,NULL,5000.00,1659007674219,"2ad52f59-2402-4804-adef-e2177595e494",1659007674219,"2ad52f59-2402-4804-adef-e2177595e494","NEW"
"od.rourkela","97b496b9-cf03-4847-8609-9f32e6bfc25d","PERMANENT",NULL,"EATINGESTABLISHMENTS.TST33",NULL,"FLAT",NULL,NULL,NULL,5000.00,1659007692285,"2ad52f59-2402-4804-adef-e2177595e494",1659614659865,"25ff96f4-6b6a-4037-8337-a7142d5218a8","RENEWAL"
